clust_RCSI,clust_RCSI_predict
12.3125,4.0031157
5.352941,4.0031157
5.0799999,4.0031157
4.2857141,4.0031157
.8125,4.0031157
10.842105,4.0031157
2.0869565,4.0031157
2.1500001,4.0031157
3.090909,4.0031157
2.25,5.6315756
2.8888888,4.0031157
8.2857141,4.0031157
7.0454545,5.6315756
3.3809524,4.0031157
2.2222223,5.6315756
3.8571429,5.6315756
4.1428571,4.0031157
1.1363636,4.0031157
4.1999998,5.6315756
3.25,4.0031157
4.1999998,5.6315756
7.5454545,5.6315756
3.5263157,5.6315756
10.166667,5.6315756
4,5.6315756
8.5625,5.6315756
6.2105265,7.2600355
9.4705887,5.6315756
2.3181818,4.0031157
8.2631578,5.6315756
4.4705882,4.0031157
3.8823528,4.0031157
6.125,4.0031157
3.6111112,4.0031157
2.0555556,4.0031157
4.8888888,4.0031157
1.7619047,4.0031157
.86666667,4.0031157
1.25,4.0031157
.2631579,4.0031157
.8125,4.0031157
2.5294118,4.0031157
.625,4.0031157
3.0999999,4.0031157
3.5,4.0031157
5.0500002,4.0031157
3.652174,4.0031157
1.1304348,4.0031157
3.9130435,4.0031157
3.1481481,4.0031157
1.7777778,4.0031157
1.8333334,4.0031157
5.8888888,4.0031157
8.6499996,4.0031157
4.4347825,4.0031157
4.3888888,4.0031157
4.4583335,4.0031157
1.6666666,4.0031157
5.75,4.0031157
11.85,4.0031157
2.75,4.0031157
2.7894738,4.0031157
1.3214285,4.0031157
.90909094,4.0031157
2.8636363,4.0031157
1.6842105,4.0031157
7.652174,4.0031157
.15000001,4.0031157
4.125,4.0031157
4.4375,4.0031157
3.8125,4.0031157
4.8421054,4.0031157
7,4.0031157
7.4705882,4.0031157
4.3684211,4.0031157
3.1904762,4.0031157
3.4705882,4.0031157
2.3,4.0031157
8.0526314,4.0031157
2.4736843,4.0031157
8.4210529,4.0031157
2.1428571,4.0031157
7.0952382,4.0031157
13.722222,4.0031157
10.714286,4.0031157
2.5238094,4.0031157
12,6.5993309
9.25,4.0031157
3.75,4.0031157
4.6666665,4.0031157
4.6111112,4.0031157
4.1176472,4.0031157
3,6.5993309
5.909091,4.0031157
1.5263158,6.5993309
3,4.0031157
3.4000001,4.0031157
4.125,4.0031157
3.3125,4.0031157
2.8636363,4.0031157
2.5882354,4.0031157
.78947371,4.0031157
3.1818182,4.0031157
3.5882354,4.0031157
3.5,4.0031157
3.3529413,4.0031157
2,4.0031157
4.4666667,4.0031157
2.4375,4.0031157
2.4736843,4.0031157
.095238097,4.0031157
2.2608695,4.0031157
3.3,4.0031157
7,4.0031157
1.7826087,4.0031157
4.5714288,4.0031157
2.72,4.0031157
2.6111112,4.0031157
3.1500001,4.0031157
5.1999998,4.0031157
5.3157897,4.0031157
7.1500001,4.0031157
6.6666665,4.0031157
6,4.0031157
2.7391305,4.0031157
3.2592592,4.0031157
4.352941,4.0031157
4.7222223,4.0031157
.75,4.0031157
2.8,4.0031157
4.3000002,4.0031157
2.6842105,4.0031157
4.6999998,4.0031157
6.8571429,4.0031157
1.2857143,4.0031157
4.4761906,6.5993309
2.3529413,4.0031157
3.0454545,4.0031157
2.8571429,4.0031157
1.9375,4.0031157
3.5,4.0031157
4.0526314,4.0031157
6.1875,4.0031157
10.55,6.5993309
8.043478,6.5993309
7.1052632,4.0031157
4.5238094,4.0031157
3,4.0031157
7.818182,4.0031157
3.2777777,4.0031157
4,4.0031157
1.9130435,4.0031157
5.3333335,4.0031157
1.1578947,4.0031157
5.1428571,4.0031157
3.4761906,4.0031157
