RCSI,RCSI_predict
20,.52178651
0,.52178651
5,.52178651
22,.52178651
23,.52178651
39,.52178651
0,.52178651
0,.52178651
22,.52178651
17,.52178651
3,.52178651
22,.52178651
0,.52178651
16,.52178651
5,.52178651
3,.52178651
0,-3.4748781
0,-3.4748781
27,-3.4748781
0,-3.4748781
0,-3.4748781
0,-3.4748781
0,-3.4748781
0,-3.4748781
0,-3.4748781
13,-3.4748781
2,-3.4748781
0,-3.4748781
20,-3.4748781
0,-3.4748781
1,-3.4748781
28,-3.4748781
0,-3.4748781
0,-4.359983
10,-4.359983
11,-4.359983
2,-4.359983
5,-4.359983
30,-4.359983
8,-4.359983
8,-4.359983
2,-4.359983
2,-4.359983
0,.12994945
0,-4.359983
4,-4.359983
4,-4.359983
7,-4.359983
4,-4.359983
13,-1.5045501
6,-1.5045501
14,-1.5045501
2,-1.5045501
0,-1.5045501
2,-1.5045501
4,-1.5045501
21,-1.5045501
2,-1.5045501
0,-1.5045501
5,-1.5045501
0,-1.5045501
2,-1.5045501
0,-1.5045501
11,-1.5045501
8,-1.5045501
0,-1.5045501
0,-1.5045501
0,-1.5045501
0,-2.5341258
9,-2.5341258
4,-2.5341258
0,-2.5341258
0,-2.5341258
0,-2.5341258
0,-2.5341258
0,-2.5341258
0,-2.5341258
0,-2.5341258
0,-2.5341258
0,-2.5341258
0,-2.5341258
0,-2.5341258
16,-4.6165843
0,-4.6165843
16,-4.6165843
5,-4.6165843
29,-4.6165843
29,-4.6165843
16,-4.6165843
35,-4.6165843
13,-4.6165843
24,-4.6165843
6,-4.6165843
0,-2.4253705
0,-2.4253705
0,2.0645618
8,-2.4253705
12,-2.4253705
0,-2.4253705
0,-2.4253705
0,-2.4253705
0,-2.4253705
0,-2.4253705
5,-2.4253705
0,-2.4253705
0,-2.4253705
0,-2.4253705
0,-2.4253705
0,-2.4253705
3,-2.4253705
12,-1.4520415
0,-1.4520415
0,-1.4520415
2,-1.4520415
3,-1.4520415
0,-1.4520415
0,-1.4520415
0,-1.4520415
0,-1.4520415
0,-1.4520415
0,-1.4520415
