clust_HDDS,clust_HDDS_predict_ipc
4.1875,5.2399354
4.8125,5.2399354
6,5.2399354
4.6875,5.2399354
5.1875,5.2399354
4.8125,5.2399354
4.9375,5.2399354
5.5,5.2399354
4.75,5.2399354
5.25,5.2399354
5.125,5.2399354
5.4375,5.2399354
3.8125,5.2399354
5.375,5.2399354
4.875,5.2399354
4.9375,5.2399354
5.5625,5.2399354
6.1875,5.2399354
6.375,5.2399354
4.625,5.2399354
5.125,5.2399354
3.9375,5.2399354
4.625,5.2399354
5.5625,5.2399354
5.75,5.2399354
4.8125,5.2399354
5.75,5.2399354
5,5.2399354
4.5,5.2399354
4.0625,5.2399354
4.3125,5.2399354
4.9375,5.2399354
5.375,5.0693069
4.875,5.0693069
4.1875,5.2399354
4.75,5.2399354
5.375,5.2399354
5.25,5.2399354
4.4375,5.2399354
5.0625,5.2399354
5.6875,5.2399354
4.4375,5.2399354
5.8125,5.2399354
4.375,5.2399354
6.125,5.2399354
5.5625,5.2399354
5.6875,5.2399354
5.375,5.2399354
4.875,5.2399354
5.4375,5.2399354
5.25,5.2399354
4.4375,5.2399354
4.875,5.2399354
5.125,5.2399354
5.5,5.2399354
5.3125,5.2399354
5.375,5.2399354
4.6875,5.2399354
5.3125,5.2399354
5.375,5.2399354
5.1875,5.2399354
6.75,5.2399354
6.4375,5.2399354
6.0625,5.2399354
6,5.2399354
4.375,5.2399354
4,5.2399354
4.875,5.2399354
5.9375,5.2399354
5.875,5.2399354
5.8125,5.2399354
4.6875,5.2399354
5.4375,5.2399354
5.4375,5.2399354
5,5.2399354
4,5.2399354
3.9333334,5.2399354
3.625,5.0693069
4.75,5.0693069
5.0625,5.2399354
4,5.0693069
4.9375,5.2399354
6.5,5.2399354
6.75,5.2399354
5.9375,5.2399354
6.6875,5.2399354
5.9375,5.2399354
5.0625,5.2399354
5.0625,5.2399354
5.1875,5.2399354
5.1875,5.2399354
5.5625,5.2399354
5.625,5.2399354
5.75,5.2399354
6.375,5.2399354
4.5625,5.2399354
6.375,5.2399354
4.875,5.2399354
5.875,5.2399354
5.375,5.2399354
6.0625,5.2399354
5.5,5.2399354
5.875,5.2399354
4.75,5.2399354
5.3125,5.2399354
4.5,5.2399354
4.4375,5.2399354
5.625,5.2399354
5,5.2399354
4.625,5.2399354
4.5,5.2399354
4.5625,5.2399354
4.5,5.2399354
4.1875,5.2399354
6.125,5.2399354
5.3125,5.2399354
5.5,5.2399354
5.5625,5.2399354
5.125,5.2399354
5.375,5.2399354
5.375,5.2399354
