clust_RCSI,clust_RCSI_predict_ipc
12.3125,3.0885668
5.352941,3.0885668
5.0799999,3.0885668
4.2857141,3.0885668
.8125,3.0885668
10.842105,3.0885668
2.0869565,3.0885668
2.1500001,3.0885668
3.090909,3.0885668
2.25,6.3960395
2.8888888,3.0885668
8.2857141,3.0885668
7.0454545,6.3960395
3.3809524,3.0885668
2.2222223,6.3960395
3.8571429,6.3960395
1.1363636,3.0885668
4.1999998,6.3960395
3.25,3.0885668
4.1999998,6.3960395
7.5454545,6.3960395
3.5263157,6.3960395
10.166667,6.3960395
4,6.3960395
8.5625,6.3960395
6.2105265,10.642858
2.3181818,6.3960395
8.2631578,6.3960395
4.4705882,3.0885668
3.8823528,3.0885668
6.125,3.0885668
3.6111112,3.0885668
2.0555556,3.0885668
4.8888888,3.0885668
1.7619047,3.0885668
.86666667,3.0885668
1.25,3.0885668
.2631579,3.0885668
.8125,3.0885668
2.5294118,3.0885668
.625,3.0885668
3.0999999,3.0885668
3.5,3.0885668
5.0500002,3.0885668
3.652174,3.0885668
1.1304348,3.0885668
3.9130435,3.0885668
3.1481481,3.0885668
1.7777778,3.0885668
1.8333334,3.0885668
5.8888888,3.0885668
8.6499996,3.0885668
4.4347825,3.0885668
4.3888888,3.0885668
4.4583335,3.0885668
1.6666666,3.0885668
5.75,3.0885668
11.85,3.0885668
2.75,3.0885668
2.7894738,3.0885668
1.3214285,3.0885668
.90909094,3.0885668
2.8636363,3.0885668
1.6842105,3.0885668
7.652174,3.0885668
.15000001,3.0885668
4.125,3.0885668
4.4375,3.0885668
3.8125,3.0885668
4.8421054,3.0885668
7,3.0885668
7.4705882,3.0885668
4.3684211,3.0885668
3.1904762,3.0885668
3.4705882,3.0885668
2.3,3.0885668
8.0526314,3.0885668
2.4736843,3.0885668
8.4210529,3.0885668
2.1428571,3.0885668
7.0952382,3.0885668
10.714286,3.0885668
2.5238094,3.0885668
12,3.0885668
9.25,3.0885668
3.75,3.0885668
4.6666665,3.0885668
4.6111112,3.0885668
4.1176472,3.0885668
3,3.0885668
5.909091,3.0885668
1.5263158,3.0885668
3,3.0885668
3.4000001,3.0885668
4.125,3.0885668
3.3125,3.0885668
2.8636363,3.0885668
2.5882354,3.0885668
.78947371,3.0885668
3.1818182,3.0885668
3.5882354,3.0885668
3.5,3.0885668
3.3529413,3.0885668
2,3.0885668
4.4666667,3.0885668
2.4375,3.0885668
2.4736843,3.0885668
.095238097,3.0885668
2.2608695,3.0885668
3.3,3.0885668
7,3.0885668
1.7826087,3.0885668
4.5714288,3.0885668
2.72,3.0885668
2.6111112,3.0885668
3.1500001,3.0885668
5.1999998,3.0885668
5.3157897,3.0885668
7.1500001,3.0885668
6.6666665,3.0885668
6,3.0885668
2.7391305,3.0885668
3.2592592,3.0885668
4.352941,3.0885668
4.7222223,3.0885668
.75,3.0885668
2.8,3.0885668
4.3000002,3.0885668
2.6842105,3.0885668
4.6999998,3.0885668
6.8571429,3.0885668
1.2857143,3.0885668
4.4761906,3.0885668
2.3529413,3.0885668
3.0454545,3.0885668
2.8571429,3.0885668
1.9375,3.0885668
3.5,3.0885668
4.0526314,3.0885668
6.1875,3.0885668
10.55,3.0885668
8.043478,3.0885668
7.1052632,3.0885668
4.5238094,3.0885668
3,3.0885668
7.818182,3.0885668
3.2777777,3.0885668
4,3.0885668
1.9130435,3.0885668
5.3333335,3.0885668
1.1578947,3.0885668
5.1428571,3.0885668
3.4761906,3.0885668
5.3636365,3.0885668
5.8421054,3.0885668
2.3043478,3.0885668
6.125,3.0885668
7.4736843,3.0885668
4.2105265,3.0885668
2.1363637,3.0885668
4.6999998,3.0885668
.71428573,3.0885668
1.8333334,3.0885668
4.5999999,3.0885668
3.3571429,3.0885668
2.4705882,3.0885668
5.9473686,3.0885668
4.3157897,3.0885668
2.5999999,3.0885668
.8888889,3.0885668
5.8421054,3.0885668
.64999998,3.0885668
4.7647057,3.0885668
3.4375,3.0885668
7.9545455,3.0885668
3.2222223,3.0885668
2.3913043,3.0885668
5.5882354,3.0885668
.37037036,3.0885668
4.0999999,3.0885668
6.0588236,3.0885668
6.318182,3.0885668
3.125,3.0885668
3,3.0885668
3.909091,3.0885668
4.1999998,3.0885668
2.6875,3.0885668
6.8571429,3.0885668
5.6315789,3.0885668
3.2666667,3.0885668
16.277779,3.0885668
5.2916665,3.0885668
1.7222222,3.0885668
6.3157897,3.0885668
2.6666667,3.0885668
2.2727273,3.0885668
3.4000001,3.0885668
0,3.0885668
