clust_RCSI,clust_RCSI_predict_ipc
6,3.0885668
17.25,3.0885668
5.0625,3.0885668
10.4375,3.0885668
8.8125,3.0885668
3.1875,3.0885668
11.0625,3.0885668
2.5625,3.0885668
12.375,3.0885668
12.3125,3.0885668
10.25,3.0885668
2.8125,3.0885668
8,3.0885668
5.0625,3.0885668
12.625,3.0885668
11,3.0885668
4.375,3.0885668
2.75,3.0885668
4.3125,3.0885668
5.3125,3.0885668
2.3125,3.0885668
3.9375,3.0885668
1.8125,3.0885668
10.6875,3.0885668
4.5625,3.0885668
9,3.0885668
5.375,3.0885668
10.3125,3.0885668
14.5,3.0885668
11.25,3.0885668
10.375,3.0885668
7.0625,3.0885668
6.25,6.3960395
16.125,6.3960395
11.8125,3.0885668
9,3.0885668
3.625,3.0885668
4.4375,3.0885668
.8125,3.0885668
3.4375,3.0885668
1.6875,3.0885668
7.5,3.0885668
7.5,3.0885668
3.6875,3.0885668
2.75,3.0885668
3.375,3.0885668
2.1875,3.0885668
4.125,3.0885668
5.5625,3.0885668
3.8125,3.0885668
5.5,3.0885668
6.5,3.0885668
4,3.0885668
10.5625,3.0885668
2.1875,3.0885668
4.25,3.0885668
6.625,3.0885668
3.875,3.0885668
1.875,3.0885668
3.4375,3.0885668
6,3.0885668
.8125,3.0885668
1.6875,3.0885668
4.75,3.0885668
2.4375,3.0885668
1.3125,3.0885668
3.4375,3.0885668
.5,3.0885668
2.125,3.0885668
1.875,3.0885668
2.9375,3.0885668
3.625,3.0885668
5.5,3.0885668
5.3125,3.0885668
10.5625,3.0885668
5.375,3.0885668
10,3.0885668
12.9375,6.3960395
15.3125,6.3960395
3.9375,3.0885668
8.75,6.3960395
6.1875,3.0885668
1.625,3.0885668
2.3125,3.0885668
3.3125,3.0885668
.875,3.0885668
8.9375,3.0885668
14.1875,3.0885668
2.4375,3.0885668
1.5625,3.0885668
2.0625,3.0885668
6.3125,3.0885668
5.5625,3.0885668
5.875,3.0885668
4.3125,3.0885668
2.5625,3.0885668
2.1875,3.0885668
2,3.0885668
2.75,3.0885668
2.375,3.0885668
1.25,3.0885668
.5625,3.0885668
1.625,3.0885668
5,3.0885668
2.25,3.0885668
4.25,3.0885668
6.375,3.0885668
.9375,3.0885668
4.5625,3.0885668
5,3.0885668
2.875,3.0885668
2.0625,3.0885668
.3125,3.0885668
2.875,3.0885668
4.6875,3.0885668
2.9375,3.0885668
6.1875,3.0885668
.125,3.0885668
0,3.0885668
.9375,3.0885668
7.8125,3.0885668
2.125,3.0885668
7.125,3.0885668
7.25,3.0885668
4.5625,3.0885668
3.8125,3.0885668
5.5,3.0885668
.875,3.0885668
6.6875,3.0885668
9.1875,3.0885668
3.8125,3.0885668
4.25,3.0885668
17.0625,6.3960395
8.0625,6.3960395
11.125,6.3960395
2.875,3.0885668
6.5,3.0885668
6.6875,3.0885668
4.0625,3.0885668
4.875,3.0885668
1.5625,3.0885668
.625,3.0885668
.5,3.0885668
2.5,3.0885668
5.75,3.0885668
1.3125,3.0885668
3.6875,3.0885668
1.75,3.0885668
2.125,3.0885668
2.8125,3.0885668
3.8125,3.0885668
1.625,3.0885668
2.8125,3.0885668
1.625,3.0885668
2,3.0885668
2.1875,3.0885668
1.75,3.0885668
2.25,3.0885668
.5625,3.0885668
1.6875,3.0885668
1.625,3.0885668
1.125,3.0885668
3.4375,3.0885668
2.6875,3.0885668
4,3.0885668
.625,3.0885668
.0625,3.0885668
4.1875,3.0885668
1.1875,3.0885668
3.25,3.0885668
0,3.0885668
11.5625,3.0885668
3.4666667,3.0885668
6.5625,3.0885668
2.25,3.0885668
13.3125,6.3960395
11.4375,3.0885668
7.625,6.3960395
2.0625,3.0885668
3.3125,3.0885668
7.5625,3.0885668
1.9375,3.0885668
5.5625,3.0885668
4.125,3.0885668
1.9375,3.0885668
.4375,3.0885668
3.8125,3.0885668
.75,3.0885668
2.75,3.0885668
4.1875,3.0885668
2.25,3.0885668
1.375,3.0885668
4.625,3.0885668
2.6875,3.0885668
3.75,3.0885668
1.875,3.0885668
1.3125,3.0885668
.8125,3.0885668
3,3.0885668
.8125,3.0885668
.8125,3.0885668
1.75,3.0885668
2.0625,3.0885668
.9375,3.0885668
4.4666667,3.0885668
.5,3.0885668
1.125,3.0885668
3.5,3.0885668
4.25,3.0885668
1.875,3.0885668
.4375,3.0885668
3.4375,3.0885668
.125,3.0885668
1.375,3.0885668
2.6875,3.0885668
.75,3.0885668
.125,3.0885668
.375,3.0885668
2.9375,3.0885668
.125,3.0885668
3.5,3.0885668
2.25,3.0885668
.5,3.0885668
2,3.0885668
5.1875,3.0885668
2.3125,3.0885668
1,3.0885668
.0625,3.0885668
1.875,3.0885668
1.6875,3.0885668
1.0625,3.0885668
11.0625,3.0885668
3.125,3.0885668
4.25,3.0885668
4.375,3.0885668
2.625,3.0885668
1.125,3.0885668
.375,3.0885668
1.25,3.0885668
6,6.3960395
14.3125,6.3960395
9.5625,6.3960395
4.75,6.3960395
1.6875,6.3960395
7.4375,3.0885668
7.0625,3.0885668
2.0625,3.0885668
4.875,3.0885668
1.5,3.0885668
3.875,3.0885668
2.75,3.0885668
2.6875,3.0885668
.875,3.0885668
1.625,3.0885668
5.5999999,3.0885668
2.9375,3.0885668
1.875,3.0885668
2.3125,3.0885668
1.0625,3.0885668
1.3125,3.0885668
2.3125,3.0885668
1.75,3.0885668
.3125,3.0885668
1.1875,3.0885668
0,3.0885668
1.3125,3.0885668
.8125,3.0885668
2.6875,3.0885668
1.3125,3.0885668
0,3.0885668
.5625,3.0885668
0,3.0885668
2.5999999,3.0885668
2.75,3.0885668
2.5,3.0885668
5.5,3.0885668
.25,3.0885668
.46666667,6.3960395
1.375,6.3960395
1.1875,6.3960395
2.4000001,3.0885668
3.625,3.0885668
1.4375,6.3960395
2.0625,3.0885668
.875,3.0885668
11.375,10.642858
7.1875,10.642858
2.5625,6.3960395
2.4375,6.3960395
4,6.3960395
1.375,3.0885668
3.7333333,6.3960395
2.5625,6.3960395
4.625,3.0885668
2.5,3.0885668
.5625,3.0885668
.86666667,3.0885668
1.5625,3.0885668
3.5,3.0885668
1.8125,3.0885668
1.5625,3.0885668
5.3125,3.0885668
3.5625,3.0885668
2.1875,3.0885668
.3125,3.0885668
2.3125,3.0885668
.75,3.0885668
4.875,3.0885668
4.375,3.0885668
4.625,3.0885668
.1875,3.0885668
3.125,3.0885668
1.75,3.0885668
2.375,3.0885668
5.4375,3.0885668
3.5,3.0885668
2.625,3.0885668
1.9333333,3.0885668
2.4375,3.0885668
3,3.0885668
2.3125,3.0885668
2.625,3.0885668
1.8125,3.0885668
.4375,3.0885668
.93333334,3.0885668
.8125,3.0885668
1.2142857,3.0885668
1.75,3.0885668
.5,3.0885668
.25,3.0885668
2.75,3.0885668
3.4375,3.0885668
1.0625,3.0885668
2.9375,6.3960395
3.875,6.3960395
7.125,6.3960395
9.25,6.3960395
5.375,3.0885668
5.75,3.0885668
6.6875,3.0885668
3.625,6.3960395
10.4375,10.642858
7.5625,3.0885668
15.9375,10.642858
5.5625,10.642858
1.5,6.3960395
3.5625,6.3960395
9.4375,6.3960395
7.125,6.3960395
11.5,6.3960395
2.125,3.0885668
4.3125,3.0885668
.33333334,3.0885668
.4375,3.0885668
1.0666667,3.0885668
4.5,6.3960395
4.5625,6.3960395
1.3125,6.3960395
1.5625,3.0885668
.5625,3.0885668
2.375,3.0885668
3.625,3.0885668
1.125,3.0885668
3.8125,3.0885668
.75,3.0885668
2.6875,3.0885668
1.1875,3.0885668
3.5625,3.0885668
1.875,3.0885668
3.5,3.0885668
6.8125,3.0885668
4.375,3.0885668
6.625,3.0885668
1.5,3.0885668
1.3125,3.0885668
1.5625,3.0885668
1.5625,3.0885668
5.5625,3.0885668
2,3.0885668
2.1875,3.0885668
3.5,3.0885668
5.625,3.0885668
.5,3.0885668
5.125,3.0885668
1.5625,3.0885668
5.625,3.0885668
6.1875,3.0885668
4.8125,3.0885668
.9375,3.0885668
3.125,3.0885668
3.25,3.0885668
4.375,3.0885668
4.625,3.0885668
2.5625,3.0885668
2.375,3.0885668
3.9375,3.0885668
4.3125,3.0885668
3.625,3.0885668
2.625,3.0885668
2.5,3.0885668
.1875,3.0885668
5.4375,3.0885668
3.1875,3.0885668
5.875,3.0885668
1.3125,3.0885668
1.4,3.0885668
1.4375,3.0885668
4.875,3.0885668
2.125,3.0885668
1.875,3.0885668
2.3333333,3.0885668
7.4375,3.0885668
2.0625,3.0885668
1.9375,6.3960395
6.5,6.3960395
8.75,6.3960395
9.1875,6.3960395
8.125,6.3960395
4.9375,3.0885668
2.25,3.0885668
2.0625,6.3960395
.75,3.0885668
6,3.0885668
10.8125,10.642858
5.75,10.642858
7,10.642858
2.625,6.3960395
6,6.3960395
9.75,6.3960395
5.6875,6.3960395
.9375,3.0885668
.4375,3.0885668
3.5625,6.3960395
.6875,3.0885668
0,3.0885668
.375,3.0885668
1.5625,3.0885668
.3125,3.0885668
4.25,3.0885668
2.6875,3.0885668
.9375,3.0885668
.875,3.0885668
2.25,3.0885668
4.3125,3.0885668
1.375,3.0885668
3.25,3.0885668
2,3.0885668
1.75,3.0885668
5.125,3.0885668
6.6875,3.0885668
.3125,3.0885668
2.25,3.0885668
2.5625,3.0885668
3.4375,3.0885668
2.5625,3.0885668
2.3125,3.0885668
.6875,3.0885668
2.9375,3.0885668
3.25,3.0885668
3.1875,3.0885668
2.125,3.0885668
3.4375,3.0885668
4.6875,3.0885668
2.8125,3.0885668
2.375,3.0885668
1.9375,3.0885668
3.9375,3.0885668
2.5625,3.0885668
1.1875,3.0885668
1.75,3.0885668
1.5,3.0885668
3.4375,3.0885668
6.75,3.0885668
4,3.0885668
1.6875,3.0885668
3.5,3.0885668
3.5,3.0885668
1.875,3.0885668
6,3.0885668
.125,3.0885668
2.25,3.0885668
1.5625,3.0885668
2.75,3.0885668
4.3125,3.0885668
2,3.0885668
3.3125,3.0885668
1.875,3.0885668
4.6875,3.0885668
3.6875,3.0885668
5.3125,3.0885668
3.375,3.0885668
4.8125,3.0885668
3.375,3.0885668
5.6875,3.0885668
4.625,6.3960395
2.1875,6.3960395
6.375,6.3960395
6.625,6.3960395
2.9375,6.3960395
11,3.0885668
4,3.0885668
5.1875,3.0885668
4.25,3.0885668
3.8125,3.0885668
5.0625,6.3960395
9.0625,6.3960395
5.6875,6.3960395
11.25,10.642858
14.9375,10.642858
4.25,10.642858
8,10.642858
6.0625,10.642858
11.125,10.642858
10.5,6.3960395
5.3125,6.3960395
6.5625,6.3960395
8.125,6.3960395
6.9375,6.3960395
.625,3.0885668
2.0625,6.3960395
1.625,6.3960395
1.3125,6.3960395
1.5,3.0885668
1.125,3.0885668
3.3125,3.0885668
2.375,3.0885668
4.5625,3.0885668
.875,3.0885668
3.0625,3.0885668
4.1875,3.0885668
1.4375,3.0885668
