clust_logFCS,clust_logFCS_predict_ipc
3.5540621,3.8455029
3.7332067,3.8455029
3.9850221,3.8455029
3.7665348,3.8455029
3.554704,3.8455029
3.4760025,3.8455029
3.6983113,3.8455029
3.805851,3.8455029
3.6468427,3.8455029
3.7420008,3.8455029
3.6542695,3.8455029
3.766036,3.8455029
3.3910422,3.8455029
3.6823475,3.8455029
3.6856997,3.8455029
3.57076,3.8455029
3.8276875,3.8455029
4.056335,3.8455029
4.1141901,3.8455029
3.7509558,3.8455029
3.9544127,3.8455029
3.4640996,3.8455029
3.8305004,3.8455029
3.7226665,3.8455029
3.9133904,3.8455029
3.4325225,3.8455029
3.802505,3.8455029
3.6186366,3.8455029
3.6536345,3.8455029
3.4416749,3.8455029
3.4244187,3.8455029
3.5672846,3.8455029
3.6617692,3.8092873
3.4894772,3.8092873
3.4249651,3.8455029
3.5588963,3.8455029
3.7201955,3.8455029
3.6980464,3.8455029
3.4935284,3.8455029
3.6852272,3.8455029
3.8726916,3.8455029
3.5647881,3.8455029
3.8937764,3.8455029
3.3334043,3.8455029
3.8579462,3.8455029
3.7823746,3.8455029
3.7619298,3.8455029
3.9067309,3.8455029
3.7413042,3.8455029
3.8115263,3.8455029
3.839591,3.8455029
3.6871529,3.8455029
3.8193817,3.8455029
3.7284017,3.8455029
3.9368215,3.8455029
3.8563216,3.8455029
3.7820923,3.8455029
3.6836264,3.8455029
3.8792534,3.8455029
3.8400826,3.8455029
3.6248128,3.8455029
4.3169565,3.8455029
4.2006311,3.8455029
3.9713252,3.8455029
4.0461884,3.8455029
3.7326937,3.8455029
3.5054748,3.8455029
3.7245102,3.8455029
3.9703393,3.8455029
3.9364552,3.8455029
3.8559587,3.8455029
3.5456903,3.8455029
3.6619463,3.8455029
3.704314,3.8455029
3.7455125,3.8455029
3.4850519,3.8455029
3.4516289,3.8455029
3.2722914,3.8092873
3.6061001,3.8092873
3.6639082,3.8455029
3.3864024,3.8092873
3.5404189,3.8455029
4.18255,3.8455029
