clust_HDDS,clust_HDDS_TA_predict_m1
4.6875,5.3898406
5.2352943,5.376893
5.7199998,5.4665384
5.0952382,5.3674393
5.3125,5.1898541
5.4210525,5.3070807
5.2608695,5.1307788
5.6500001,5.0488601
5.318182,5.4076781
5.125,5.5336847
4.9259257,5.3506141
4.0952382,5.0551505
4.590909,5.4281445
5.1904764,5.4851136
5.3888888,5.5637002
5.7142859,5.5139461
6.25,5.4712772
5.181818,5.2527184
4.8499999,5.1087713
4.6500001,4.3326077
5.6500001,5.1772733
5.7272725,5.1906772
5.2631578,4.9417839
6.1666665,5.5291057
5.3684211,5.3450565
5.8125,5.2252336
6.1578946,5.4624515
5.7058825,5.2745762
6.5,5.0894637
5.6842103,5.4274149
5.0588236,5.3898406
4.9411764,5.3791094
4.5625,5.2547846
5.1111112,5.3516688
6.0555553,5.4088626
5.2777777,5.4234467
5.8095236,5.531497
5.3333335,5.531497
5.3125,5.3105736
5,5.3105736
5.6875,5.417933
5.4705882,5.2120571
6.4375,5.5306506
6.0999999,5.2787967
5.6363635,5.4165459
5.6500001,5.5698256
5.826087,5.1684427
5.5652175,5.439846
5.2173915,5.4189029
5.4444447,5.4707894
4.7777777,5.6071191
5.3888888,5.4076781
4.7777777,5.2386475
4.5999999,5.1324849
5.9130435,5.3506141
5.1666665,5.0551505
5.1666665,4.5985374
4.7333331,5.5286765
4.25,5.20716
4.4000001,5.20716
4.8499999,5.3272839
6.3157897,5.4025578
6.2142859,5.4712772
6.818182,5.4589067
6.409091,5.4296346
6.4210525,5.4296346
5.695652,5.4222522
6.8000002,5.4576936
5.7083335,5.4296346
6.25,5.4765835
5.8125,5.4680223
4.8421054,5.0811009
4.9444447,5.357058
4.8235292,5.0225458
5.2631578,4.9911366
5.2380953,4.6185913
4.7058825,4.6185913
6.4499998,5.4359388
6.3157897,5.5517368
5.7894735,5.2161236
5.4210525,5.1613846
5.5714288,5.3301892
6,5.5738711
5.2222223,5.425663
5.4285712,5.5072145
6.1904764,5.5858884
5.4375,4.0940318
5.4499998,5.0875449
5.25,5.3438234
4.7777777,5.3438234
5.8888888,5.6056461
6.352941,5.2196488
6.2631578,5.0406075
6.2727275,5.529603
6.6315789,4.9981742
5.96,5.5100513
5.8499999,5.523396
6.125,5.5749745
5.625,5.5713425
6.0454545,5.3516688
5.2941175,5.2382102
6.0526314,5.2382102
5.681818,5.4088626
5.352941,5.045588
5.0625,5.3177772
5.1764708,5.3516688
5.8235292,5.2787967
5.6666665,5.2787967
5.25,5.417933
5.4736843,5.417933
6.8571429,5.4147911
5.9130435,5.1924791
5.5500002,5.2054133
5.3636365,4.997808
5.4347825,5.4661784
5.2857141,5.6071191
6.1599998,5.2386475
6.0555553,5.4097924
5.9000001,5.1324849
5.3000002,5.3843536
4.3684211,5.2981806
4.8000002,5.5546298
4.9523811,5.5546298
4.8571429,5.3840594
5.7391305,5.4605188
4.9629631,5.0062313
4.8823528,5.2775745
5,5.3272839
6.5,5.4712772
5.8499999,5.5495057
5.5,5.2527184
5.3684211,5.1913786
5.1999998,5.1913786
5.7142859,4.9517326
4.9523811,4.9517326
5.5714288,4.5580349
5.4117646,5.0910478
5.090909,5.0910478
5.5714288,5.4872947
6.3125,5.5348806
5.8888888,5.4385982
6.1052632,5.3517556
5.5625,5.425663
5.5500002,4.1241608
5.304348,4.0940318
5.7368422,5.3207531
5.4761906,4.8555584
5.4736843,5.4029946
5.5,5.4029946
6.1111112,5.6180692
6.3846154,5.6038179
5.9130435,5.5699673
6,5.5280833
6.2105265,5.4121642
6.5714288,5.5140247
6.6666665,5.5871077
