clust_RCSI,clust_RCSI_TA_predict_m1
12.3125,3.5884883
5.352941,3.4372952
5.0799999,4.5724239
4.2857141,3.8613117
.8125,5.1158953
10.842105,3.7854328
2.0869565,3.7015934
2.1500001,4.7184544
3.090909,3.2635119
2.25,6.9740524
2.8888888,3.5134189
8.2857141,3.3575525
7.0454545,6.4855971
3.3809524,2.3308604
2.2222223,5.9190331
3.8571429,6.0693259
4.1428571,3.3026948
1.1363636,4.3150167
4.1999998,7.4131799
3.25,5.15593
4.1999998,6.1998267
7.5454545,5.4789176
3.5263157,6.614923
10.166667,5.6735992
4,6.1560993
8.5625,6.3230457
6.2105265,8.8839455
9.4705887,7.1766396
2.3181818,4.1878052
8.2631578,5.4244914
4.4705882,3.5884883
3.8823528,3.386713
6.125,2.5863011
3.6111112,3.945256
2.0555556,3.3331075
4.8888888,4.238718
1.7619047,4.0967169
.86666667,4.0967169
1.25,4.1359525
.2631579,4.1359525
.8125,4.4547296
2.5294118,3.9270151
.625,4.3382707
3.0999999,4.4285922
3.5,4.4480324
5.0500002,3.6474602
3.652174,4.3815789
1.1304348,3.2817183
3.9130435,4.1163077
3.1481481,3.6164317
1.7777778,3.3706102
1.8333334,3.2635119
5.8888888,4.0266471
8.6499996,3.6098511
4.4347825,3.5134189
4.3888888,3.3575525
4.4583335,5.0529265
1.6666666,2.9227724
5.75,3.0706966
11.85,3.0706966
2.75,3.9368451
2.7894738,3.3823137
1.3214285,3.3026948
.90909094,3.3884335
2.8636363,3.1240082
1.6842105,3.1240082
7.652174,2.6399512
.15000001,3.3461125
4.125,3.1240082
4.4375,3.3196661
3.8125,3.3591688
4.8421054,4.5565233
7,4.5715351
7.4705882,5.1913977
4.3684211,4.2635188
3.1904762,4.6603169
3.4705882,4.6603169
2.3,3.5795157
8.0526314,3.4413047
2.4736843,5.0590835
8.4210529,3.6669774
2.1428571,3.6304994
7.0952382,3.4678915
13.722222,4.0397153
10.714286,3.6661057
2.5238094,3.4078197
12,5.4524193
9.25,5.036902
3.75,4.3208332
4.6666665,4.3208332
4.6111112,2.5608814
4.1176472,4.0672011
3,3.1275609
5.909091,2.768117
1.5263158,3.2283607
3,3.5225582
3.4000001,2.9238491
4.125,2.8904464
3.3125,2.1479266
2.8636363,3.945256
2.5882354,4.3903451
.78947371,4.3903451
3.1818182,3.3331075
3.5882354,4.6540627
3.5,3.631073
3.3529413,3.945256
2,4.4285922
4.4666667,4.4285922
2.4375,4.4547296
2.4736843,4.4547296
.095238097,4.4938421
2.2608695,4.3506842
3.3,4.2386909
7,4.9371948
1.7826087,3.3419428
4.5714288,3.3706102
2.72,4.0266471
2.6111112,4.0216908
3.1500001,3.6098511
5.1999998,3.2534494
5.3157897,3.0198715
7.1500001,3.4558287
6.6666665,3.4558287
6,3.6590633
2.7391305,3.2427895
3.2592592,4.5742416
4.352941,3.1452439
4.7222223,3.9368451
.75,3.3026948
2.8,3.2193375
4.3000002,4.3150167
2.6842105,3.943403
4.6999998,3.943403
6.8571429,4.0896621
1.2857143,4.0896621
4.4761906,4.6480489
2.3529413,3.9780443
3.0454545,3.9780443
2.8571429,3.4936442
1.9375,4.3713346
3.5,3.5615988
4.0526314,3.8223555
6.1875,4.0397153
10.55,5.5241008
8.043478,5.4524193
7.1052632,4.7075672
4.5238094,4.3931403
3,4.3040905
7.818182,4.3040905
3.2777777,3.054189
4,2.5711949
1.9130435,3.4624801
5.3333335,3.0468037
1.1578947,3.7814469
5.1428571,3.1269393
3.4761906,3.1383379
