clust_RCSI,clust_RCSI_ipczone_predict_m2
12.3125,1.5644742
5.352941,2.0045042
5.0799999,.78000861
4.2857141,1.9109502
.8125,3.2714984
10.842105,.78000861
2.0869565,1.6610175
2.1500001,.97969806
3.090909,2.0695205
2.25,3.8158956
2.8888888,2.0695205
8.2857141,2.5829415
7.0454545,4.1848426
3.3809524,1.6610175
2.2222223,4.1848426
3.8571429,4.1848426
4.1428571,3.6121719
1.1363636,3.3910306
4.1999998,5.5888057
3.25,2.9974444
4.1999998,3.0261512
7.5454545,3.0261512
3.5263157,3.7934809
10.166667,3.6995509
4,3.5213945
8.5625,4.6054053
6.2105265,6.928432
9.4705887,5.2054911
2.3181818,2.1439409
8.2631578,3.5213945
4.4705882,1.5772879
3.8823528,1.5772879
6.125,1.5772879
3.6111112,2.9400129
2.0555556,2.9400129
4.8888888,.79471338
1.7619047,1.9046699
.86666667,.72863191
1.25,1.9046699
.2631579,1.9046699
.8125,3.3979242
2.5294118,1.9046699
.625,2.1854374
3.0999999,2.0305488
3.5,1.9046699
5.0500002,1.9046699
3.652174,2.6290438
1.1304348,2.6180847
3.9130435,2.6180847
3.1481481,2.6180847
1.7777778,2.0276072
1.8333334,2.0276072
5.8888888,2.1854374
8.6499996,2.1854374
4.4347825,2.1854374
4.3888888,2.1854374
4.4583335,3.613399
1.6666666,1.6618439
5.75,1.6618439
11.85,1.6618439
2.75,2.4504673
2.7894738,-.05911446
1.3214285,-.05911446
.90909094,-.05911446
2.8636363,2.1854374
1.6842105,-.05911446
7.652174,-.05911446
.15000001,-.05911446
4.125,-.05911446
4.4375,2.2469478
3.8125,2.1854374
4.8421054,2.4054329
7,3.7164352
7.4705882,3.7164352
4.3684211,2.8762975
3.1904762,2.2469478
3.4705882,2.5982187
2.3,2.2469478
8.0526314,1.4026142
2.4736843,4.3131404
8.4210529,2.0104501
2.1428571,2.0104501
7.0952382,1.9272829
13.722222,.84228402
10.714286,2.9055893
2.5238094,1.9272829
12,2.2337027
9.25,3.4083533
3.75,2.500119
4.6666665,2.4143972
4.6111112,1.3259779
4.1176472,1.3259779
3,2.0661573
5.909091,1.3259779
1.5263158,2.0661573
3,1.9375337
3.4000001,1.9375337
4.125,1.7494453
3.3125,1.5638754
2.8636363,2.9146304
2.5882354,3.2411749
.78947371,3.2411749
3.1818182,2.9146304
3.5882354,2.0249023
3.5,.7940954
3.3529413,.75346512
2,1.8753674
4.4666667,3.3105516
2.4375,1.8753674
2.4736843,1.8753674
.095238097,1.8753674
2.2608695,2.6380298
3.3,2.6380298
7,2.6380298
1.7826087,2.6435525
4.5714288,2.0735152
2.72,2.2096448
2.6111112,2.2096448
3.1500001,2.2096448
5.1999998,2.2096448
5.3157897,2.2096448
7.1500001,2.2096448
6.6666665,2.2096448
6,2.2096448
2.7391305,2.2096448
3.2592592,3.6568062
4.352941,1.6696057
4.7222223,2.4514091
.75,-.059115566
2.8,-.059115566
4.3000002,2.4230185
2.6842105,2.4230185
4.6999998,2.4230185
6.8571429,2.513411
1.2857143,2.513411
4.4761906,2.0201936
2.3529413,.99517763
3.0454545,1.2682828
2.8571429,1.6546168
1.9375,4.2398672
3.5,1.9850041
4.0526314,1.9850041
6.1875,2.9203179
10.55,2.2869833
8.043478,2.2869833
7.1052632,3.3939977
4.5238094,1.6546168
3,2.4268768
7.818182,2.4461567
3.2777777,1.2682828
4,1.2682828
1.9130435,1.8256654
5.3333335,.61791664
1.1578947,1.8256654
5.1428571,1.8256654
3.4761906,1.8978186
