clust_HDDS,clust_HDDS_TA_predict_m3
4.6875,4.6475592
5.2352943,4.6425934
5.7199998,5.7536669
5.0952382,4.664278
5.3125,4.3470874
5.4210525,5.2584248
5.2608695,4.5665321
5.6500001,4.6243687
5.318182,4.6973133
5.125,3.982239
4.9259257,5.0478592
4.0952382,4.543366
4.590909,4.6528425
5.1904764,4.4629502
5.3888888,4.7062011
5.7142859,5.1917219
6.25,6.2138419
5.181818,4.7775207
4.8499999,4.6213145
4.6500001,4.5062213
5.6500001,4.8322153
5.7272725,4.8117447
5.2631578,4.7615938
6.1666665,5.4067006
5.3684211,4.8831596
5.8125,4.6290469
6.1578946,5.0443377
5.7058825,4.8676591
6.5,4.8333864
5.6842103,5.3417225
5.0588236,4.6475592
4.9411764,4.4353976
4.5625,4.72294
5.1111112,4.8809509
6.0555553,5.6260052
5.2777777,5.4242702
5.8095236,5.2225385
5.3333335,5.2225385
5.3125,4.8442454
5,4.8442454
5.6875,4.6577458
5.4705882,4.8763537
6.4375,6.0457611
6.0999999,4.9742246
5.6363635,5.5681963
5.6500001,5.2172389
5.826087,4.6343298
5.5652175,4.6660275
5.2173915,5.040803
5.4444447,4.9745989
4.7777777,4.6886463
5.3888888,4.6973133
4.7777777,5.193541
4.5999999,4.992662
5.9130435,5.0478592
5.1666665,4.543366
5.1666665,5.0381174
4.7333331,4.7441249
4.25,4.4449177
4.4000001,4.4449177
4.8499999,4.6938825
6.3157897,6.4515414
6.2142859,6.2138419
6.818182,6.5220366
6.409091,5.8445873
6.4210525,5.8445873
5.695652,4.9204521
6.8000002,8.8809919
5.7083335,5.8445873
6.25,5.3757315
5.8125,6.0805831
4.8421054,4.6003165
4.9444447,4.7575307
4.8235292,4.6097245
5.2631578,4.6464801
5.2380953,4.3513713
4.7058825,4.3513713
6.4499998,4.9499359
6.3157897,5.1599994
5.7894735,4.6367035
5.4210525,4.6755152
5.5714288,4.8027539
6,5.315443
5.2222223,4.8280511
5.4285712,4.9885349
6.1904764,5.1660409
5.4375,4.1031651
5.4499998,4.7155247
5.25,5.0323825
4.7777777,5.0323825
5.8888888,5.4188809
6.352941,4.7664976
6.2631578,5.4124007
6.2727275,6.1189556
6.6315789,5.8192101
5.96,6.3949876
5.8499999,6.0084572
6.125,5.5023823
5.625,4.5590301
6.0454545,4.8809509
5.2941175,5.1866608
6.0526314,5.1866608
5.681818,5.6260052
5.352941,4.8082924
5.0625,4.9312725
5.1764708,4.8809509
5.8235292,4.9742246
5.6666665,4.9742246
5.25,4.6577458
5.4736843,4.6577458
6.8571429,6.9305687
5.9130435,4.8271308
5.5500002,4.7880168
5.3636365,4.5129261
5.4347825,4.5219231
5.2857141,4.6886463
6.1599998,5.193541
6.0555553,5.6994629
5.9000001,4.992662
5.3000002,5.1008883
4.3684211,4.3232388
4.8000002,4.6822715
4.9523811,4.6822715
4.8571429,4.949604
5.7391305,5.1749511
4.9629631,4.4582791
4.8823528,4.6087899
5,4.6938825
6.5,6.2138419
5.8499999,6.2032981
5.5,4.7775207
5.3684211,4.6544795
5.1999998,4.6544795
5.7142859,4.8133936
4.9523811,4.8133936
5.5714288,4.5336409
5.4117646,4.8206253
5.090909,4.8206253
5.5714288,5.6625471
6.3125,6.1074977
5.8888888,5.1326332
6.1052632,5.490449
5.5625,4.8280511
5.5500002,4.1547446
5.304348,4.1031651
5.7368422,4.4907784
5.4761906,4.7500033
5.4736843,4.874537
5.5,4.874537
6.1111112,4.9519262
6.3846154,6.563653
5.9130435,5.6216354
6,6.0192089
6.2105265,6.4296227
6.5714288,6.2866049
6.6666665,7.3062763
