clust_logFCS,clust_logFCS_TA_predict_m2
3.6660154,3.7077944
3.7188785,3.7782753
3.7998304,4.1335573
3.8448913,3.7779133
3.6879361,3.64362
3.7841516,3.9311435
3.8374259,3.6905186
3.8953035,3.6885753
3.8047087,3.7335973
3.6172888,3.6657264
3.6439795,3.8297374
3.4990628,3.6684704
3.4933577,3.7112777
3.6403515,3.5771708
3.6665723,3.7391434
3.84376,3.7996175
4.0433965,4.1004648
3.7008128,3.7174075
3.7441485,3.714967
3.6215286,3.6760597
3.862515,3.767627
3.9374404,3.6260269
3.8079872,3.7599115
3.9977124,3.8652096
3.8358147,3.8023911
3.7830768,3.6942387
3.8918312,3.8735662
3.7758429,3.7786868
4.1514988,3.6988785
3.8444798,3.9071994
3.8362947,3.7077944
3.6930976,3.6738276
3.6518881,3.6937411
3.7350838,3.8239765
3.9886575,3.9361913
3.7446616,4.1646895
3.93312,3.8353767
3.7440948,3.8353767
3.7857857,3.7722003
3.7116849,3.7722003
3.8871653,3.6934168
3.9496818,3.7520325
4.2388158,4.070179
3.9722149,3.7377973
3.8195713,4.0509634
3.7748787,3.9036489
3.9916737,3.6832933
3.8403809,3.6708508
3.8244824,3.8013892
3.8742146,3.6953735
3.7777686,3.6971097
3.9021387,3.7335973
3.7166927,3.7992644
3.5496531,3.7103193
3.9362974,3.8297374
3.7444925,3.6684704
3.5289705,3.8011458
3.5693336,3.7026908
3.6268327,3.6024733
3.4981892,3.6024733
3.6486998,3.6945727
4.1787114,4.0776262
4.0011086,4.1004648
4.2960067,3.9870377
4.1393027,3.9886045
4.1048226,3.9886045
3.8897817,3.935621
4.4301381,4.6720958
3.8571975,3.9886045
4.1035881,3.9819658
3.9184604,4.0391088
3.6246924,3.7078247
3.6686556,3.7083762
3.6704962,3.6902852
3.7689302,3.6621783
3.7852209,3.5764625
3.7130654,3.5764625
4.0658445,3.8022301
4.0676599,3.7951784
4.0440907,3.6653464
3.7745514,3.6911311
3.8609583,3.7120764
3.9285622,3.8038557
3.7701697,3.7771971
3.7868888,3.7344871
3.9609897,3.7885599
3.7418106,3.4692714
3.7601032,3.7607756
3.7442036,3.784905
3.6866508,3.784905
3.8576705,3.8922734
4.307807,3.7251127
4.0041785,3.7929049
4.1439509,4.0191312
4.1076107,3.9060404
4.0758004,4.0458217
3.9102142,3.9781024
4.0183487,3.8474257
3.8182402,3.7171438
3.9712291,3.8239765
3.7441885,3.866832
3.9448898,3.866832
3.745857,3.9361913
3.7006366,3.9660223
3.7242777,3.8907619
3.6038883,3.8239765
4.0880117,3.7377973
3.8565178,3.7377973
3.8771565,3.6934168
3.8044646,3.6934168
4.4177699,4.2063413
3.9529483,3.7604856
3.9882655,3.7294569
3.782285,3.6514812
3.9465747,3.6163995
3.8390801,3.6971097
3.9228625,3.7992644
4.0240684,3.886152
3.9198496,3.7103193
3.6902764,3.6824942
3.4244342,3.5307758
3.6624522,3.6542861
3.6410766,3.6542861
3.6560838,3.7340374
3.8188958,3.7817264
3.6584873,3.596132
3.6556187,3.6369481
3.6803482,3.6945727
4.0570364,4.1004648
4.0009079,4.1848798
3.933511,3.7174075
3.9245605,3.660717
3.888823,3.660717
3.9735847,3.6626022
3.7099979,3.6626022
3.8880391,3.5857875
3.7848067,3.7429454
3.7995741,3.7429454
3.8336868,3.897536
4.070292,3.9824858
3.8762567,3.8176339
3.9872594,3.9248405
3.8244545,3.7771971
3.7324572,3.475198
3.8186865,3.4692714
3.9912584,3.6972139
3.8286057,3.7352297
3.8511894,3.7382894
3.7493882,3.7382894
4.1048164,3.8640819
4.1718726,4.1622725
3.9400933,3.8607779
4.0186462,4.0366921
4.0405884,3.9786565
4.1376033,4.0337873
4.3435025,4.2635589
