clust_logFCS,clust_logFCS_ipczone_predict_m1
3.6660154,3.6381586
3.7188785,3.7980731
3.7998304,3.8434255
3.8448913,3.6806867
3.6879361,3.6631465
3.7841516,3.8434255
3.8374259,3.6208787
3.8953035,3.7852488
3.8047087,3.7586591
3.6172888,3.7428832
3.6439795,3.7586591
3.4990628,3.6868613
3.4933577,3.7316792
3.6403515,3.6208787
3.6665723,3.7316792
3.84376,3.7316792
4.0433965,3.6470068
3.7008128,3.776475
3.7441485,3.7032149
3.6215286,3.7005858
3.862515,3.7881134
3.9374404,3.7881134
3.8079872,3.7246845
3.9977124,3.7350385
3.8358147,3.7198696
3.7830768,3.7982738
3.8918312,3.756933
3.7758429,3.8502297
4.1514988,3.709805
3.8444798,3.7198696
3.8362947,3.6850202
3.6930976,3.6850202
3.6518881,3.6850202
3.7350838,3.8247674
3.9886575,3.8247674
3.7446616,3.8505123
3.93312,3.6974487
3.7440948,3.851059
3.7857857,3.6974487
3.7116849,3.6974487
3.8871653,3.723479
3.9496818,3.6974487
4.2388158,3.7386467
3.9722149,3.7290297
3.8195713,3.6974487
3.7748787,3.6974487
3.9916737,3.7007322
3.8403809,3.7017872
3.8244824,3.7017872
3.8742146,3.7017872
3.7777686,3.793432
3.9021387,3.793432
3.7166927,3.7386467
3.5496531,3.7386467
3.9362974,3.7386467
3.7444925,3.7386467
3.5289705,3.6744471
3.5693336,3.6492136
3.6268327,3.6492136
3.4981892,3.6492136
3.6486998,3.7205248
4.1787114,3.7512317
4.0011086,3.7512317
4.2960067,3.7512317
4.1393027,3.7386467
4.1048226,3.7512317
3.8897817,3.7512317
4.4301381,3.7512317
3.8571975,3.7512317
4.1035881,3.731323
3.9184604,3.7386467
3.6246924,3.7174571
3.6686556,3.6970005
3.6704962,3.6970005
3.7689302,3.7078147
3.7852209,3.731323
3.7130654,3.5263033
4.0658445,3.731323
4.0676599,3.7749388
4.0440907,3.7246683
3.7745514,3.7351906
3.8609583,3.7351906
3.9285622,3.7544343
3.7701697,3.7550282
3.7868888,3.7897623
3.9609897,3.7544343
3.7418106,3.4037709
3.7601032,3.7401855
3.7442036,3.8634002
3.6866508,3.7092168
3.8576705,3.7725065
4.307807,3.7725065
4.0041785,3.5927835
4.1439509,3.7725065
4.1076107,3.5927835
4.0758004,3.7820055
3.9102142,3.7820055
4.0183487,3.7152884
3.8182402,3.7162175
3.9712291,3.8169031
3.7441885,3.7530143
3.9448898,3.7530143
3.745857,3.8169031
3.7006366,3.7326405
3.7242777,3.8566093
3.6038883,3.8003557
4.0880117,3.690927
3.8565178,3.7263916
3.8771565,3.690927
3.8044646,3.690927
4.4177699,3.690927
3.9529483,3.6948066
3.9882655,3.6948066
3.782285,3.6948066
3.9465747,3.7240453
3.8390801,3.7647498
3.9228625,3.7198377
4.0240684,3.7198377
3.9198496,3.7198377
3.6902764,3.7198377
3.4244342,3.7198377
3.6624522,3.7198377
3.6410766,3.7198377
3.6560838,3.7198377
3.8188958,3.7198377
3.6584873,3.6529508
3.6556187,3.6390619
3.6803482,3.7101381
4.0570364,3.7512424
4.0009079,3.7512424
3.933511,3.704663
3.9245605,3.704663
3.888823,3.704663
3.9735847,3.4890194
3.7099979,3.4890194
3.8880391,3.5556884
3.7848067,3.8111408
3.7995741,3.7343941
3.8336868,3.7048612
4.070292,3.7218368
3.8762567,3.7287021
3.9872594,3.7287021
3.8244545,3.7732043
3.7324572,3.3742418
3.8186865,3.3742418
3.9912584,3.7312958
3.8286057,3.7048612
3.8511894,3.7113361
3.7493882,3.8453414
4.1048164,3.7343941
4.1718726,3.7343941
3.9400933,3.7689664
4.0186462,3.7849898
4.0405884,3.7689664
4.1376033,3.7689664
4.3435025,3.7486725
