clust_HDDS,clust_HDDS_TA_predict_m3
4.1875,
4.8125,
6,
4.6875,
5.1875,
4.8125,
4.9375,
5.5,
4.75,
5.25,
5.125,
5.4375,
3.8125,
5.375,
4.875,
4.9375,
5.5625,
6.1875,
6.375,
4.625,
5.125,
3.9375,
4.625,
5.5625,
5.75,
4.8125,
5.75,
5,
4.5,
4.0625,
4.3125,
4.9375,
5.375,
4.875,
4.1875,
4.75,
5.375,
5.25,
4.4375,
5.0625,
5.6875,
4.4375,
5.8125,
4.375,
6.125,
5.5625,
5.6875,
5.375,
4.875,
5.4375,
5.25,
4.4375,
4.875,
5.125,
5.5,
5.3125,
5.375,
4.6875,
5.3125,
5.375,
5.1875,
6.75,
6.4375,
6.0625,
6,
4.375,
4,
4.875,
5.9375,
5.875,
5.8125,
4.6875,
5.4375,
5.4375,
5,
4,
3.9333334,
3.5625,
3,
3.625,
4.75,
5.0625,
4,
4.9375,
6.5,
6.75,
5.9375,
6.6875,
5.9375,
5.0625,
5.0625,
5.1875,
5.1875,
5.5625,
5.625,
5.75,
6.375,
4.5625,
6.375,
4.875,
5.875,
5.375,
6.0625,
5.5,
5.875,
4.75,
5.3125,
4.5,
4.4375,
5.625,
5,
4.625,
4.5,
4.5625,
4.5,
4.1875,
6.125,
5.3125,
5.5,
5.5625,
5.125,
5.375,
5.375,
6.5625,
5.5625,
5.625,
5.6875,
5.125,
3.3125,
5.875,
3.6875,
3.25,
4.125,
4.4375,
4.4375,
4.75,
4,
5.4375,
4.875,
5.375,
6,
6.3125,
6.5,
5.125,
5.75,
5.9375,
6,
5.9375,
5.75,
5.3125,
5.6875,
4.5625,
4.8125,
5.5,
5.625,
5.0625,
4.9375,
5.6875,
4.6875,
4.9375,
5.375,
5.125,
4.125,
4.625,
5.375,
3.625,
5.5625,
6.1875,
4.5,
5.5,
5.75,
4.625,
5.625,
4.9375,
5.1999998,
4.8125,
4.6875,
3.0625,
3.8125,
5.0625,
5.125,
5.75,
4.9375,
6.3125,
6.1875,
4.3125,4.7640986
5.25,4.7640986
5.125,5.3135939
5.9375,5.0854998
6.4375,5.8146815
5,4.8283067
5.5,4.8941765
5.125,4.6446886
6.0625,6.0580339
6.5,6.1496606
5.75,5.6038322
5.25,4.8917193
5.5,5.258141
6,5.3242717
5.25,4.9075823
5.125,4.813993
4.9375,4.8276248
5.125,4.8276248
5.375,5.1222754
4.875,4.9297261
4.6875,5.0190053
4.4000001,4.79001
5.375,4.79001
5.4375,5.3486953
4.8125,4.5452547
4.75,4.9811888
5.0625,4.7270403
4.75,4.7489758
5.1875,4.6792216
4.5,
5.4375,5.256319
5.875,5.0667477
6.625,6.3199549
6.25,6.115119
5.9375,5.3152261
4.75,4.8790078
5.5,4.8417749
4.75,4.5775909
5.4375,
5.625,4.832551
4.25,4.5910611
4.6875,4.6850624
5.5625,5.1769352
6.125,5.5851016
5.4375,5.4820275
5.1875,5.025074
5.125,5.2003746
5.25,5.0135632
4.9375,4.8998251
5.5,4.9776144
5.125,5.318542
5.1875,5.4998007
4.1875,5.0317259
4.5625,5.3149257
4.375,4.8526974
4.8125,4.781786
5.375,5.5841155
4.3125,4.6445751
4.3125,4.6515613
5.0625,4.9433699
5.125,4.7314591
4.75,4.9111853
4.5,4.9111853
5.125,
6.125,5.9511318
6.1875,5.665328
6.25,6.2326174
6.1875,6.5869045
4.9375,4.9272127
5.0625,4.930326
5.625,5.577857
5.6666665,5.4897289
6,5.3665872
5.8125,6.1446042
5.75,4.7553706
5,4.813993
6.0625,5.8376141
4.75,4.8877678
6.5625,6.3244228
6.0625,5.0807633
4.9375,5.4332366
6.375,5.636292
5.4375,4.8488822
5.8125,
5.1875,4.9173388
6.3125,5.7108636
6.4375,6.2915783
5.8125,6.115119
6.5625,6.8927193
5.6666665,5.7450047
5.375,4.6728349
5,5.0281458
5.5,5.2989006
6.3125,6.3453784
5.9333334,5.3798227
5.1875,5.3798227
4.5625,
6.375,6.0856338
5.7333331,5.318542
4,5.2979121
4.375,4.9221649
4.6875,4.8526974
4.6875,4.8526974
3.25,
4,4.5507588
5.4375,4.9074173
5.9375,5.2431154
6,5.8984656
4.8125,4.8029485
5.875,5.665328
6,5.9537821
5.4375,5.3243885
5.1875,4.7680235
5.75,5.9213791
5.25,5.577857
5.4000001,5.0319562
5.6875,5.3665872
4.8125,5.3665872
4.875,5.3004413
6.1875,6.1732883
5.125,4.6747437
4.375,4.8283067
5.375,5.9762249
6.375,6.4240551
5.5,5.3955626
6.125,5.3242717
4.6875,4.9958901
5,4.9338546
4.4375,4.9338546
