clust_HDDS,clust_HDDS_clust_predict_m3
4.1875,
4.8125,
6,
4.6875,
5.1875,
4.8125,
4.9375,
5.5,
4.75,
5.25,
5.125,
5.4375,
3.8125,
5.375,
4.875,
4.9375,
5.5625,
6.1875,
6.375,
4.625,
5.125,
3.9375,
4.625,
5.5625,
5.75,
4.8125,
5.75,
5,
4.5,
4.0625,
4.3125,
4.9375,
5.375,
4.875,
4.1875,
4.75,
5.375,
5.25,
4.4375,
5.0625,
5.6875,
4.4375,
5.8125,
4.375,
6.125,
5.5625,
5.6875,
5.375,
4.875,
5.4375,
5.25,
4.4375,
4.875,
5.125,
5.5,
5.3125,
5.375,
4.6875,
5.3125,
5.375,
5.1875,
6.75,
6.4375,
6.0625,
6,
4.375,
4,
4.875,
5.9375,
5.875,
5.8125,
4.6875,
5.4375,
5.4375,
5,
4,
3.9333334,
3.5625,
3,
3.625,
4.75,
5.0625,
4,
4.9375,
6.5,
6.75,
5.9375,
6.6875,
5.9375,
5.0625,
5.0625,
5.1875,
5.1875,
5.5625,
5.625,
5.75,
6.375,
4.5625,
6.375,
4.875,
5.875,
5.375,
6.0625,
5.5,
5.875,
4.75,
5.3125,
4.5,
4.4375,
5.625,
5,
4.625,
4.5,
4.5625,
4.5,
4.1875,
6.125,
5.3125,
5.5,
5.5625,
5.125,
5.375,
5.375,
6.5625,
5.5625,
5.625,
5.6875,
5.125,
3.3125,
5.875,
3.6875,
3.25,
4.125,
4.4375,
4.4375,
4.75,
4,
5.4375,
4.875,
5.375,
6,
6.3125,
6.5,
5.125,
5.75,
5.9375,
6,
5.9375,
5.75,
5.3125,
5.6875,
4.5625,
4.8125,
5.5,
5.625,
5.0625,
4.9375,
5.6875,
4.6875,
4.9375,
5.375,
5.125,
4.125,
4.625,
5.375,
3.625,
5.5625,
6.1875,
4.5,
5.5,
5.75,
4.625,
5.625,
4.9375,
5.1999998,
4.8125,
4.6875,
3.0625,
3.8125,
5.0625,
5.125,
5.75,
4.9375,
6.3125,
6.1875,
4.3125,4.6511011
5.25,5.0476861
5.125,5.3324795
5.9375,5.0909257
6.4375,5.6738777
5,4.838047
5.5,5.043262
5.125,4.6555128
6.0625,6.0266666
6.5,6.1485558
5.75,5.4796615
5.25,5.0964885
5.5,5.224865
6,5.5877113
5.25,4.9375873
5.125,4.8496938
4.9375,4.9136844
5.125,5.1901102
5.375,4.6740179
4.875,4.8495317
4.6875,4.8025422
4.4000001,4.6836047
5.375,4.8082004
5.4375,5.944355
4.8125,4.8303275
4.75,4.7363949
5.0625,4.5422778
4.75,
5.1875,4.9998384
4.5,
5.4375,5.1146445
5.875,5.1046495
6.625,6.3769093
6.25,6.241262
5.9375,5.3502636
4.75,4.5650434
5.5,4.7854733
4.75,4.6960473
5.4375,
5.625,4.9956284
4.25,4.2812514
4.6875,4.6512976
5.5625,5.0121255
6.125,6.009285
5.4375,5.844491
5.1875,4.9277296
5.125,4.9322233
5.25,4.9146404
4.9375,4.9933877
5.5,5.0463524
5.125,5.085712
5.1875,4.9821062
4.1875,5.0384049
4.5625,4.9686275
4.375,4.8187356
4.8125,5.0310268
5.375,5.3160462
4.3125,4.4593134
4.3125,4.8474069
5.0625,4.5759482
5.125,4.5261931
4.75,4.7930422
4.5,4.56844
5.125,
6.125,6.0067706
6.1875,5.5868745
6.25,6.1379657
6.1875,6.2124677
4.9375,4.7969518
5.0625,4.9869595
5.625,5.5515857
5.6666665,5.4479694
6,6.1004677
5.8125,6.0012689
5.75,5.3850698
5,4.74826
6.0625,5.9001474
4.75,5.0362673
6.5625,6.3123169
6.0625,6.1941638
4.9375,4.8766437
6.375,5.7124233
5.4375,5.3058729
5.8125,
5.1875,5.1041679
6.3125,5.6991911
6.4375,6.4283223
5.8125,6.0729289
6.5625,6.9025607
5.6666665,5.7934489
5.375,4.6256771
5,4.8460479
5.5,5.2915025
6.3125,6.311234
5.9333334,5.2274752
5.1875,5.0856371
4.5625,
6.375,6.2447271
5.7333331,5.5859895
4,5.499279
4.375,5.2628188
4.6875,4.8730869
4.6875,4.7855649
3.25,
4,4.6111145
5.4375,4.9424629
5.9375,5.1279545
6,5.8648949
4.8125,
5.875,5.609129
6,5.9989214
5.4375,5.3920097
5.1875,4.8700342
5.75,6.0482521
5.25,5.4711576
5.4000001,5.2439594
5.6875,5.094233
4.8125,5.048285
4.875,5.3137503
6.1875,6.0313234
5.125,4.6667485
4.375,4.6490855
5.375,5.5493059
6.375,6.7181444
5.5,5.4228764
6.125,6.2779937
4.6875,5.1619964
5,4.9112983
4.4375,4.6127462
