clust_HDDS,clust_HDDS_ipczone_predict_m3
4.1875,
4.8125,
6,
4.6875,
5.1875,
4.8125,
4.9375,
5.5,
4.75,
5.25,
5.125,
5.4375,
3.8125,
5.375,
4.875,
4.9375,
5.5625,
6.1875,
6.375,
4.625,
5.125,
3.9375,
4.625,
5.5625,
5.75,
4.8125,
5.75,
5,
4.5,
4.0625,
4.3125,
4.9375,
5.375,
4.875,
4.1875,
4.75,
5.375,
5.25,
4.4375,
5.0625,
5.6875,
4.4375,
5.8125,
4.375,
6.125,
5.5625,
5.6875,
5.375,
4.875,
5.4375,
5.25,
4.4375,
4.875,
5.125,
5.5,
5.3125,
5.375,
4.6875,
5.3125,
5.375,
5.1875,
6.75,
6.4375,
6.0625,
6,
4.375,
4,
4.875,
5.9375,
5.875,
5.8125,
4.6875,
5.4375,
5.4375,
5,
4,
3.9333334,
3.5625,
3,
3.625,
4.75,
5.0625,
4,
4.9375,
6.5,
6.75,
5.9375,
6.6875,
5.9375,
5.0625,
5.0625,
5.1875,
5.1875,
5.5625,
5.625,
5.75,
6.375,
4.5625,
6.375,
4.875,
5.875,
5.375,
6.0625,
5.5,
5.875,
4.75,
5.3125,
4.5,
4.4375,
5.625,
5,
4.625,
4.5,
4.5625,
4.5,
4.1875,
6.125,
5.3125,
5.5,
5.5625,
5.125,
5.375,
5.375,
6.5625,
5.5625,
5.625,
5.6875,
5.125,
3.3125,
5.875,
3.6875,
3.25,
4.125,
4.4375,
4.4375,
4.75,
4,
5.4375,
4.875,
5.375,
6,
6.3125,
6.5,
5.125,
5.75,
5.9375,
6,
5.9375,
5.75,
5.3125,
5.6875,
4.5625,
4.8125,
5.5,
5.625,
5.0625,
4.9375,
5.6875,
4.6875,
4.9375,
5.375,
5.125,
4.125,
4.625,
5.375,
3.625,
5.5625,
6.1875,
4.5,
5.5,
5.75,
4.625,
5.625,
4.9375,
5.1999998,
4.8125,
4.6875,
3.0625,
3.8125,
5.0625,
5.125,
5.75,
4.9375,
6.3125,
6.1875,
4.3125,5.191751
5.25,5.191751
5.125,5.4134302
5.9375,5.5449677
6.4375,5.6240263
5,5.0785308
5.5,4.7304125
5.125,5.6389475
6.0625,5.6389475
6.5,5.6389475
5.75,5.6389475
5.25,5.1499066
5.5,5.1499066
6,5.171524
5.25,4.8791065
5.125,4.8791065
4.9375,4.8791065
5.125,4.8791065
5.375,5.0913939
4.875,4.9906802
4.6875,4.9906802
4.4000001,5.0158
5.375,5.0158
5.4375,5.0158
4.8125,5.0158
4.75,4.856256
5.0625,4.856256
4.75,4.7843575
5.1875,4.9548445
4.5,4.7843575
5.4375,5.2563858
5.875,5.2563858
6.625,5.9610777
6.25,5.9610777
5.9375,5.0158
4.75,4.8080363
5.5,4.8350506
4.75,4.8350506
5.4375,4.4753113
5.625,5.0414453
4.25,4.6997271
4.6875,4.6997271
5.5625,5.5626178
6.125,5.0414453
5.4375,5.6075883
5.1875,5.6075883
5.125,5.4888024
5.25,5.9358625
4.9375,5.2191563
5.5,5.2191563
5.125,5.330112
5.1875,5.330112
4.1875,5.1823921
4.5625,5.1823921
4.375,4.8833499
4.8125,4.8833499
5.375,4.7545981
4.3125,4.7545981
4.3125,4.7641525
5.0625,4.921999
5.125,4.921999
4.75,4.9849014
4.5,5.2191563
5.125,4.9849014
6.125,5.0414453
6.1875,5.5626178
6.25,5.5626178
6.1875,6.2175961
4.9375,5.1373978
5.0625,5.2495217
5.625,5.2495217
5.6666665,5.3447509
6,5.7718606
5.8125,5.6249127
5.75,5.2791495
5,4.9250245
6.0625,4.9250245
4.75,5.130547
6.5625,5.130547
6.0625,5.0724254
4.9375,5.0724254
6.375,4.9391131
5.4375,4.9044137
5.8125,4.9044137
5.1875,5.3789139
6.3125,5.3789139
6.4375,6.0146337
5.8125,5.0724254
6.5625,6.0146337
5.6666665,5.0724254
5.375,4.6023054
5,5.7961888
5.5,5.6313839
6.3125,5.6313839
5.9333334,5.8036752
5.1875,5.2949777
4.5625,
6.375,5.0836239
5.7333331,5.3413639
4,5.2314734
4.375,5.0086808
4.6875,4.8412499
4.6875,4.8412499
3.25,
4,4.5726075
5.4375,4.5726075
5.9375,5.4388494
6,5.4388494
4.8125,4.9925947
5.875,5.7961888
6,6.0721416
5.4375,5.8036752
5.1875,4.9960818
5.75,4.9960818
5.25,5.1834555
5.4000001,5.2650013
5.6875,5.6566529
4.8125,5.6566529
4.875,5.7757306
6.1875,5.6566529
5.125,5.4809589
4.375,5.4809589
5.375,5.4809589
6.375,5.4809589
5.5,5.2431746
6.125,5.2380157
