clust_RCSI,clust_RCSI_clust_predict_m3
6,
17.25,
5.0625,
10.4375,
8.8125,
3.1875,
11.0625,
2.5625,
12.375,
12.3125,
10.25,
2.8125,
8,
5.0625,
12.625,
11,
4.375,
2.75,
4.3125,
5.3125,
2.3125,
3.9375,
1.8125,
10.6875,
4.5625,
9,
5.375,
10.3125,
14.5,
11.25,
10.375,
7.0625,
6.25,
16.125,
11.8125,
9,
3.625,
4.4375,
.8125,
3.4375,
1.6875,
7.5,
7.5,
3.6875,
2.75,
3.375,
2.1875,
4.125,
5.5625,
3.8125,
5.5,
6.5,
4,
10.5625,
2.1875,
4.25,
6.625,
3.875,
1.875,
3.4375,
6,
.8125,
1.6875,
4.75,
2.4375,
1.3125,
3.4375,
.5,
2.125,
1.875,
2.9375,
3.625,
5.5,
5.3125,
10.5625,
5.375,
10,
10.6875,
7.6875,
12.9375,
15.3125,
3.9375,
8.75,
6.1875,
1.625,
2.3125,
3.3125,
.875,
8.9375,
14.1875,
2.4375,
1.5625,
2.0625,
6.3125,
5.5625,
5.875,
4.3125,
2.5625,
2.1875,
2,
2.75,
2.375,
1.25,
.5625,
1.625,
5,
2.25,
4.25,
6.375,
.9375,
4.5625,
5,
2.875,
2.0625,
.3125,
2.875,
4.6875,
2.9375,
6.1875,
.125,
0,
.9375,
7.8125,
2.125,
7.125,
7.25,
4.5625,
3.8125,
5.5,
.875,
6.6875,
9.1875,
3.8125,
4.25,
17.0625,
8.0625,
11.125,
2.875,
6.5,
6.6875,
4.0625,
4.875,
1.5625,
.625,
.5,
2.5,
5.75,
1.3125,
3.6875,
1.75,
2.125,
2.8125,
3.8125,
1.625,
2.8125,
1.625,
2,
2.1875,
1.75,
2.25,
.5625,
1.6875,
1.625,
1.125,
3.4375,
2.6875,
4,
.625,
.0625,
4.1875,
1.1875,
3.25,
0,
11.5625,
3.4666667,
6.5625,
2.25,
13.3125,
11.4375,
7.625,
2.0625,
3.3125,
7.5625,
1.9375,
5.5625,
4.125,2.964252
1.9375,2.6914818
.4375,2.9196258
3.8125,2.8891416
.75,2.157088
2.75,3.6971493
4.1875,2.3840601
2.25,2.8431735
1.375,1.4241204
4.625,1.5370588
2.6875,2.2875149
3.75,2.905756
1.875,2.466434
1.3125,2.114223
.8125,1.9342437
3,2.8684146
.8125,2.8285997
.8125,3.1053052
1.75,2.9310222
2.0625,3.0050914
.9375,3.1503561
4.4666667,2.7676713
.5,3.3571954
1.125,1.6065105
3.5,3.1685972
4.25,2.9151113
1.875,3.3138916
.4375,
3.4375,3.7637866
.125,
1.375,2.7257473
2.6875,3.0994506
.75,.13476503
.125,.85170078
.375,2.1230605
2.9375,3.2309084
.125,3.2752457
3.5,3.6391883
2.25,
.5,3.2718353
2,3.5849614
5.1875,3.3850799
2.3125,2.9444945
1,1.9080861
.0625,1.7711414
1.875,2.8998144
1.6875,2.9336019
1.0625,2.8749294
11.0625,4.2727823
3.125,3.4342411
4.25,2.4424117
4.375,2.7295549
2.625,3.2585421
1.125,3.0055335
.375,3.3814266
1.25,3.2153151
6,6.2972856
14.3125,7.200242
9.5625,6.8565674
4.75,6.2035413
1.6875,7.2643986
7.4375,3.9622233
7.0625,4.3601418
2.0625,
4.875,1.4790807
1.5,1.6849519
3.875,1.5042952
2.75,1.3491024
2.6875,3.4006693
.875,3.9456482
1.625,2.595175
5.5999999,3.0038037
2.9375,1.5222299
1.875,1.6662593
2.3125,2.7467513
1.0625,3.4839828
1.3125,1.183405
2.3125,2.719564
1.75,.59596503
.3125,1.3893278
1.1875,2.9907999
0,1.1599334
1.3125,2.0723057
.8125,
2.6875,2.6424978
1.3125,1.4752495
0,.40425414
.5625,1.2379882
0,-.73762053
2.5999999,1.3509741
2.75,3.386761
2.5,3.2216651
5.5,2.7802658
.25,.75813532
.46666667,4.8729196
1.375,4.9488859
9.6875,
1.1875,3.7829444
2.4000001,2.7933965
3.625,3.104763
1.4375,4.98141
2.0625,3.6193798
.875,2.9935315
12.8125,
11.375,8.9144945
7.1875,8.8628349
2.5625,5.9639106
2.4375,4.4812617
4,
1.375,1.5882968
3.7333333,3.2914715
2.5625,3.8091726
4.625,2.9634833
2.5,2.0862083
.5625,3.32546
.86666667,3.0332556
1.5625,2.9239972
3.5,3.8337846
1.8125,3.4304798
1.5625,1.5361689
5.3125,2.4419434
3.5625,3.7551882
2.1875,1.9711452
.3125,.41953352
2.3125,2.1375465
.75,1.6079617
4.875,3.2878101
4.375,2.9256628
4.625,4.4012341
.1875,2.2069812
3.125,3.4334452
1.75,3.0335815
2.375,3.8364217
5.4375,3.39255
3.5,3.3133893
2.625,2.5005682
1.9333333,1.5517277
2.4375,3.1106572
3,2.5726187
2.3125,3.5549634
2.625,
1.8125,2.0898182
.4375,.57636273
.93333334,.91189951
.8125,1.1741569
1.2142857,1.1741434
1.75,2.0778759
.5,3.5209181
1.3125,
.25,2.7588108
2.75,2.3811862
3.4375,3.0544434
1.0625,2.5413787
2.9375,5.2866087
3.875,5.957386
7.125,5.8032265
9.25,5.6954212
5.375,2.9412665
5.75,2.658299
6.6875,2.6493857
3.625,5.7719007
.5,
10.4375,9.4132452
7.5625,3.2181225
15.9375,9.2177734
5.5625,8.1888342
1.5,5.74195
3.5625,5.1074619
9.4375,6.0240993
7.125,5.0680971
11.5,5.6351075
2.125,1.1722673
4.3125,1.9174865
.33333334,1.7812184
.4375,.97859585
1.0666667,1.3781183
4.5,2.8547933
4.5625,3.4847786
1.3125,2.1164365
1.5625,2.9424324
.5625,2.6515346
2.375,2.7633717
3.625,3.6029844
1.125,3.232708
3.8125,3.37607
.75,3.1389539
2.6875,1.6533691
1.1875,3.2955084
3.5625,2.6450264
1.875,3.122565
3.5,2.768949
6.8125,2.8616745
4.375,2.7779522
6.625,2.1172411
1.5,1.5271835
1.3125,1.7068088
1.5625,1.7522682
1.5625,1.5025059
5.5625,2.8250594
2,3.3247557
2.1875,2.6038787
3.5,2.9797568
5.625,3.0351968
.5,2.515837
5.125,2.5308545
1.5625,.89085752
5.625,2.4599445
6.1875,3.1395268
4.8125,3.2478058
.9375,2.9034116
3.125,3.0678723
3.25,2.8603292
4.375,2.8136926
4.625,2.6634188
2.5625,2.942832
2.375,2.8546879
3.9375,2.5862143
4.3125,2.9902582
3.625,2.7360857
2.625,3.1812084
2.5,.62340057
.1875,.84387022
5.4375,1.5359752
3.1875,1.4958745
5.875,3.1886284
1.3125,
1.4,3.6366405
1.4375,3.1852198
4.875,3.9329062
2.125,2.9655926
1.875,2.374274
2.3333333,2.9806981
7.4375,2.5327461
2.0625,2.7770503
1.9375,4.6777635
6.5,5.603178
8.75,6.0505476
9.1875,6.513062
8.125,6.043941
4.9375,2.3677456
2.25,1.1543862
2.0625,3.4807088
.75,2.7605433
6,4.1646705
10.8125,9.3981037
5.75,8.9964914
7,9.203517
4.75,
2.625,5.3560886
6,5.7981548
9.75,
5.6875,
.9375,1.4283035
.4375,1.1675206
3.5625,3.2935851
.6875,3.0220695
0,2.5821364
.375,2.3318276
1.5625,2.7743051
.3125,2.6606145
4.25,3.672014
2.6875,3.0941579
.9375,2.7131567
.875,3.5625973
2.25,3.293551
4.3125,3.3395395
1.375,2.6293874
3.25,2.3641815
2,1.7687238
1.75,3.1601567
5.125,3.2042842
6.6875,1.7913259
.3125,1.5425136
2.25,1.5436403
2.5625,2.4323173
3.4375,2.5865321
2.5625,1.2278253
2.3125,2.9063179
.6875,2.8879511
2.9375,2.7559977
3.25,1.9370707
3.1875,3.1552935
2.125,2.4504023
3.4375,2.7998075
4.6875,3.1288311
2.8125,2.3602612
2.375,2.3974907
1.9375,2.5236871
3.9375,3.0140729
2.5625,2.994916
1.1875,2.1267943
1.75,2.286464
1.5,2.5768409
3.4375,3.0785468
6.75,3.1887465
4,2.1506338
1.6875,
3.5,
3.5,
1.875,2.5781984
6,3.3687606
.125,.66710699
2.25,3.2148654
1.5625,3.6921442
2.75,3.118588
4.3125,3.5560372
2,2.7463825
3.3125,2.9601002
1.875,2.7387941
4.6875,3.3350613
3.6875,2.3508036
5.3125,3.2974374
3.375,2.1667287
4.8125,2.4455721
3.375,2.8845747
5.6875,2.8005605
4.625,3.8412771
2.1875,5.2421193
6.375,5.1141253
6.625,6.1133075
2.9375,4.5179138
11,3.5826821
4,2.4214935
5.1875,2.9689796
4.25,2.8293631
3.8125,3.4397914
5.0625,5.9553342
9.0625,5.1623311
5.6875,5.2149482
.75,
11.25,8.7526722
14.9375,8.7770309
4.25,9.126461
8,8.4115801
6.0625,8.6313057
11.125,8.9865303
10.5,
5.3125,5.5484972
6.5625,5.9042993
8.125,6.2851257
6.9375,5.542284
.625,1.7487468
2.0625,3.0375192
1.625,2.7750456
1.3125,2.7046287
1.5,2.8028646
1.125,2.8443878
3.3125,3.1769452
2.375,2.372149
4.5625,2.4280438
.875,1.1648453
3.0625,1.3547392
4.1875,3.2780085
1.4375,2.5863247
4.4375,2.5527692
1.5625,2.0484967
6.25,2.8916566
3.25,2.1233191
2.5625,2.2188027
3.0625,3.2918174
2.375,2.1065385
1.6875,1.6124066
5.6875,2.8572261
4.25,2.8300083
1.0625,1.3567605
4.875,2.0985389
1.1875,.48177466
.3125,.49713972
.9375,1.3897989
2,3.8118076
3.0625,3.3658853
2.5625,3.5519943
3.625,2.8978488
1.3125,
8.875,6.0491242
4.8125,2.2305162
6.1875,
6.875,
4.875,
10.25,
4.8125,
9.8125,
6.875,
7,
6.875,5.5437536
5.9375,5.317616
.25,.23929389
2.75,
3.5625,
.125,2.737704
.4375,2.7472045
.0625,1.6498373
.625,2.5486937
.1875,3.0584664
.875,1.8583835
3.8125,3.2928805
4.375,2.7178948
2.75,3.0022867
2.6875,2.5959241
1.4375,1.9345553
.4375,1.8677928
5.5,2.6449695
7.1875,3.090096
1.0625,1.490918
.125,.53407735
1.5,1.6278884
3.375,2.5796912
3.5,3.7563939
2.375,2.0311167
.9375,2.8306549
5.125,3.1605639
1.25,2.3683374
2.75,2.5687509
1.8125,2.8706241
4.4375,2.2635887
2,2.183629
1.0625,2.5616326
.9375,2.9834623
.75,2.6439924
1.125,2.5585687
2.75,2.3543773
.9375,2.109036
1.6875,
2.125,
6.3125,2.8433008
3.375,2.8496146
5.625,2.4131155
1.8125,2.3599863
.125,.88080114
4.0625,1.6081496
2.9375,2.1201942
1.25,2.3140857
.5,1.7925931
.25,3.3417521
.4375,
1.1875,
.3125,3.9070308
.75,3.3903832
3.375,2.9408512
1.4375,2.7469261
3.0625,2.6183293
2.125,2.1984982
.4375,1.7272254
1.875,
2.4375,
10.5625,6.1583724
10.3125,5.4472132
3.5,2.3905363
3.5,.56195968
1.125,2.569891
2.5625,2.4826539
5.75,3.2769356
2.6875,
3.8125,
3.625,
1.4375,
7.375,
11.375,
5.125,
3.5,
9.625,
3.6875,6.6543941
9.375,6.1924801
8.75,
.3125,1.943555
1.4375,1.3366357
.375,
3,
.0625,1.9957221
1.125,2.2168987
5,3.122406
0,2.3470812
1.75,2.977159
0,.63634467
6.625,3.9109683
3.625,3.5733173
.375,1.1937467
2.75,2.1113684
2.625,2.7563648
3.6875,4.381372
2,3.4143689
.5,2.2108164
1.5625,3.2909837
2.8125,2.7553012
2.5625,2.3497615
.6875,2.9991705
2.875,3.4981985
4.125,3.3344691
4.4375,2.8208301
5.4375,3.6885939
.5625,1.3186873
1.625,2.5018213
0,3.0051966
2,.53387529
2.25,4.9088864
5.5625,2.7726517
8.125,3.2231939
3.25,2.9722917
.9375,.29477504
.5,2.8187556
2.875,3.8092887
5,5.7057643
.1875,5.6125526
4.25,2.7734904
1.625,3.5617058
3.25,4.5754681
3.75,5.1857858
3.125,3.0279236
3.5625,2.5638175
10.5,5.6335053
3.625,4.3078761
9.5625,5.006865
5,3.2518601
3.125,4.0001073
5.9375,5.6613297
3.9375,5.7753038
6.6875,6.5806742
7.375,6.6967039
6.75,5.7476654
6.625,7.8639951
4.3125,5.9994807
4.125,2.3410952
5.4375,
2.5625,5.2983747
9.375,6.2044673
0,3.8785563
0,1.615128
2.125,1.2985406
1.25,.23432523
.625,3.2900615
.4375,2.8552394
1.125,3.5988159
1.9375,2.0617342
1.25,2.3479064
1.75,2.6258574
2.875,2.3583994
3,2.9718683
3,1.1837267
3.75,2.2771482
.5,1.3464769
2.75,3.2971249
2.25,2.9900122
1.9375,2.7606778
1.1875,3.039645
4.6875,3.0592058
1.8125,2.9473758
2.875,3.0113394
.875,2.1422546
0,2.4313881
3.4375,3.629669
.5625,2.5803878
.3125,3.1677201
.9375,3.4497933
1.1875,4.145226
4.1875,
.75,.66086674
2.375,2.2342861
2.75,2.5117102
.375,3.8728561
5.5,5.7082028
5.8125,6.3775196
1.875,3.0869427
3.1875,3.9834373
4.25,5.7553291
3.4375,3.1291614
0,1.4156172
6.375,5.9053283
6.5,5.6864791
