clust_RCSI,clust_RCSI_ipczone_predict_m3
6,
17.25,
5.0625,
10.4375,
8.8125,
3.1875,
11.0625,
2.5625,
12.375,
12.3125,
10.25,
2.8125,
8,
5.0625,
12.625,
11,
4.375,
2.75,
4.3125,
5.3125,
2.3125,
3.9375,
1.8125,
10.6875,
4.5625,
9,
5.375,
10.3125,
14.5,
11.25,
10.375,
7.0625,
6.25,
16.125,
11.8125,
9,
3.625,
4.4375,
.8125,
3.4375,
1.6875,
7.5,
7.5,
3.6875,
2.75,
3.375,
2.1875,
4.125,
5.5625,
3.8125,
5.5,
6.5,
4,
10.5625,
2.1875,
4.25,
6.625,
3.875,
1.875,
3.4375,
6,
.8125,
1.6875,
4.75,
2.4375,
1.3125,
3.4375,
.5,
2.125,
1.875,
2.9375,
3.625,
5.5,
5.3125,
10.5625,
5.375,
10,
10.6875,
7.6875,
12.9375,
15.3125,
3.9375,
8.75,
6.1875,
1.625,
2.3125,
3.3125,
.875,
8.9375,
14.1875,
2.4375,
1.5625,
2.0625,
6.3125,
5.5625,
5.875,
4.3125,
2.5625,
2.1875,
2,
2.75,
2.375,
1.25,
.5625,
1.625,
5,
2.25,
4.25,
6.375,
.9375,
4.5625,
5,
2.875,
2.0625,
.3125,
2.875,
4.6875,
2.9375,
6.1875,
.125,
0,
.9375,
7.8125,
2.125,
7.125,
7.25,
4.5625,
3.8125,
5.5,
.875,
6.6875,
9.1875,
3.8125,
4.25,
17.0625,
8.0625,
11.125,
2.875,
6.5,
6.6875,
4.0625,
4.875,
1.5625,
.625,
.5,
2.5,
5.75,
1.3125,
3.6875,
1.75,
2.125,
2.8125,
3.8125,
1.625,
2.8125,
1.625,
2,
2.1875,
1.75,
2.25,
.5625,
1.6875,
1.625,
1.125,
3.4375,
2.6875,
4,
.625,
.0625,
4.1875,
1.1875,
3.25,
0,
11.5625,
3.4666667,
6.5625,
2.25,
13.3125,
11.4375,
7.625,
2.0625,
3.3125,
7.5625,
1.9375,
5.5625,
4.125,2.5915718
1.9375,2.5915718
.4375,3.8707156
3.8125,2.7775042
.75,1.036026
2.75,4.0871706
4.1875,3.4870565
2.25,2.4600244
1.375,2.4600244
4.625,2.4600244
2.6875,2.4600244
3.75,2.7817214
1.875,2.7817214
1.3125,2.6634872
.8125,2.8219066
3,2.8219066
.8125,2.8219066
.8125,2.8219066
1.75,1.9047686
2.0625,2.7430606
.9375,2.7430606
4.4666667,1.8153309
.5,1.8153309
1.125,1.8153309
3.5,1.8153309
4.25,2.8448029
1.875,2.8448029
.4375,1.2845623
3.4375,2.6939342
.125,1.2845623
1.375,3.1350677
2.6875,3.1350677
.75,.27372393
.125,.27372393
.375,1.8153309
2.9375,2.9859719
.125,2.9891918
3.5,2.9891918
2.25,2.7474058
.5,2.5622075
2,2.7012703
5.1875,2.7012703
2.3125,2.544831
1,2.5622075
.0625,3.1077991
1.875,3.1077991
1.6875,3.1334963
1.0625,2.6301274
11.0625,5.3787603
3.125,5.3787603
4.25,4.093802
4.375,4.093802
2.625,2.6507838
1.125,2.6507838
.375,2.6302395
1.25,2.6302395
6,7.8837805
14.3125,7.8837805
9.5625,6.6995015
4.75,5.0402517
1.6875,5.0402517
7.4375,5.330173
7.0625,5.3787603
2.0625,5.330173
4.875,2.5622075
1.5,2.544831
3.875,2.544831
2.75,2.756814
2.6875,2.6262813
.875,2.4142365
1.625,2.4142365
5.5999999,2.1053772
2.9375,3.4091794
1.875,2.4516647
2.3125,2.8113925
1.0625,2.8386452
1.3125,2.8386452
2.3125,1.9088274
1.75,1.9088274
.3125,1.8505238
1.1875,1.8505238
0,2.8847582
1.3125,1.2880003
.8125,1.2880003
2.6875,3.1618485
1.3125,3.1618485
0,.36598378
.5625,1.8505238
0,.36598378
2.5999999,1.8505238
2.75,2.5792253
2.5,1.7366931
5.5,3.1007617
.25,3.1007617
.46666667,4.221128
1.375,4.6113153
9.6875,
1.1875,6.8955874
2.4000001,4.1649952
3.625,2.3851042
1.4375,4.23596
2.0625,2.5829682
.875,2.5829682
12.8125,
11.375,8.2575684
7.1875,8.2575684
2.5625,4.142343
2.4375,4.142343
4,6.902276
1.375,1.7366931
3.7333333,4.3541751
2.5625,4.221128
4.625,2.5709724
2.5,2.5709724
.5625,2.4407592
.86666667,2.0076859
1.5625,3.354475
3.5,3.354475
1.8125,1.1384419
1.5625,3.354475
5.3125,2.4308188
3.5625,2.4308188
2.1875,2.4308188
.3125,2.4308188
2.3125,2.7918036
.75,2.656224
4.875,2.656224
4.375,2.656224
4.625,3.1649938
.1875,2.656224
3.125,2.8545077
1.75,1.9122213
2.375,1.9122213
5.4375,2.2036591
3.5,2.7351644
2.625,2.7351644
1.9333333,1.8401957
2.4375,1.8401957
3,1.8401957
2.3125,1.3181369
2.625,3.2334483
1.8125,3.2334483
.4375,1.8401957
.93333334,.38858199
.8125,.38858199
1.2142857,.38858199
1.75,1.8401957
.5,3.0639024
1.3125,
.25,2.7981763
2.75,2.4233689
3.4375,2.4233689
1.0625,3.0623507
2.9375,4.6056747
3.875,4.1621985
7.125,6.9711771
9.25,7.0107183
5.375,4.1882205
5.75,4.1882205
6.6875,4.5476489
3.625,4.2357092
.5,
10.4375,9.5311565
7.5625,4.1882205
15.9375,8.2724142
5.5625,8.2724142
1.5,5.1536317
3.5625,4.1336293
9.4375,6.9711771
7.125,5.8496017
11.5,5.8496017
2.125,1.6924338
4.3125,1.6924338
.33333334,1.6924338
.4375,1.6924338
1.0666667,1.6924338
4.5,4.2671638
4.5625,4.2671638
1.3125,4.1621985
1.5625,2.6238184
.5625,2.7248545
2.375,3.0826459
3.625,3.0826459
1.125,3.0826459
3.8125,3.8731229
.75,3.8731229
2.6875,2.8524854
1.1875,2.0479698
3.5625,3.3297586
1.875,3.3297586
3.5,2.4853652
6.8125,4.1049981
4.375,3.5368466
6.625,3.5368466
1.5,2.4853652
1.3125,2.8524854
1.5625,2.8524854
1.5625,2.8524854
5.5625,2.8719654
2,2.8719654
2.1875,2.8719654
3.5,2.6750598
5.625,2.6750598
.5,3.1608446
5.125,2.8984809
1.5625,1.9082153
5.625,1.9082153
6.1875,2.8453219
4.8125,2.8453219
.9375,2.204205
3.125,1.9152129
3.25,1.9152129
4.375,2.9298928
4.625,2.9298928
2.5625,2.9298928
2.375,2.9298928
3.9375,2.9298928
4.3125,1.3404964
3.625,3.2570424
2.625,3.2570424
2.5,.36678946
.1875,.36678946
5.4375,1.9152129
3.1875,.36678946
5.875,3.0654912
1.3125,2.75178
1.4,2.9823558
1.4375,2.6936221
4.875,2.6936221
2.125,2.5420876
1.875,1.7684036
2.3333333,1.7684036
7.4375,3.0174396
2.0625,3.0174396
1.9375,4.6523438
6.5,4.1781421
8.75,6.9786501
9.1875,6.9786501
8.125,6.9786501
4.9375,4.1618581
2.25,4.1618581
2.0625,4.2432222
.75,2.5832868
6,2.5832868
10.8125,9.480051
5.75,9.480051
7,8.3413277
4.75,
2.625,4.6349816
6,4.6349816
9.75,6.9786501
5.6875,6.9593129
.9375,2.5045445
.4375,1.7684036
3.5625,4.3121514
.6875,2.5720632
0,2.5720632
.375,2.6586523
1.5625,2.5720632
.3125,2.5720632
4.25,3.0737071
2.6875,2.4899788
.9375,2.7974746
.875,2.0423324
2.25,2.7974746
4.3125,2.7974746
1.375,2.0423324
3.25,3.312963
2,1.1342955
1.75,2.4033456
5.125,4.0983334
6.6875,2.4033456
.3125,2.7974746
2.25,2.4033456
2.5625,2.7739141
3.4375,2.7739141
2.5625,2.7739141
2.3125,2.4335172
.6875,2.6582873
2.9375,2.882843
3.25,2.882843
3.1875,1.9061624
2.125,1.9061624
3.4375,2.779788
4.6875,2.779788
2.8125,2.779788
2.375,1.8757935
1.9375,1.8757935
3.9375,1.8757935
2.5625,1.8757935
1.1875,1.8757935
1.75,2.8706608
1.5,2.8706608
3.4375,2.8706608
6.75,2.8706608
4,1.2841656
1.6875,1.2841656
3.5,1.2841656
3.5,1.2841656
1.875,3.1562412
6,3.1562412
.125,.38950744
2.25,2.9710538
1.5625,2.9506626
2.75,2.9506626
4.3125,2.5396111
2,2.4953806
3.3125,2.4139299
1.875,2.4139299
4.6875,2.4139299
3.6875,1.6590648
5.3125,2.7431252
3.375,3.1109922
4.8125,3.1109922
3.375,3.1109922
5.6875,3.1566982
4.625,4.1945062
2.1875,4.6121192
6.375,4.6121192
6.625,7.058826
2.9375,7.058826
11,4.1713161
4,4.5177522
5.1875,2.40504
4.25,2.40504
3.8125,2.40504
5.0625,4.2352319
9.0625,4.2352319
5.6875,4.2352319
.75,
11.25,9.5042953
14.9375,9.5042953
4.25,9.5042953
8,8.2985153
6.0625,8.2985153
11.125,8.2985153
10.5,4.0234098
5.3125,4.0234098
6.5625,6.95859
8.125,7.058826
6.9375,7.058826
.625,1.6590648
2.0625,4.3169117
1.625,4.1945062
1.3125,4.1945062
1.5,2.5693538
1.125,1.9835011
3.3125,2.7701168
2.375,1.082451
4.5625,2.4419479
.875,2.4419479
3.0625,2.7701168
4.1875,2.7538598
1.4375,2.6522505
4.4375,2.8266289
1.5625,2.8266289
6.25,2.8266289
3.25,1.8905599
2.5625,1.8905599
3.0625,2.2051654
2.375,1.8295335
1.6875,.26347879
5.6875,2.8972502
4.25,1.2988702
1.0625,3.1410501
4.875,3.1410501
1.1875,.26347879
.3125,.26347879
.9375,1.8295335
2,2.9218509
3.0625,2.4311023
2.5625,2.5132294
3.625,2.9682508
1.3125,
8.875,6.8697209
4.8125,4.1676197
6.1875,
6.875,
4.875,
10.25,
4.8125,
9.8125,
6.875,
7,
6.875,4.4910297
5.9375,5.7678652
.25,1.6258044
2.75,
3.5625,
.125,2.6325605
.4375,2.6325605
.0625,2.6325605
.625,2.7724741
.1875,3.8738751
.875,2.40413
3.8125,2.110615
4.375,2.110615
2.75,2.8211658
2.6875,3.3833649
1.4375,1.1659801
.4375,1.1659801
5.5,2.40413
7.1875,4.1738486
1.0625,2.40413
.125,2.40413
1.5,2.8211658
3.375,2.7891784
3.5,2.7891784
2.375,2.7891784
.9375,2.7177639
5.125,2.7177639
1.25,2.9204824
2.75,2.9204824
1.8125,1.9561181
4.4375,1.9561181
2,1.9561181
1.0625,1.8604753
.9375,1.8604753
.75,1.8604753
1.125,1.8604753
2.75,2.916049
.9375,2.916049
1.6875,1.3749541
2.125,1.3749541
6.3125,1.3749541
3.375,3.1813958
5.625,3.1813958
1.8125,3.1813958
.125,.37532952
4.0625,1.8604753
2.9375,.37532952
1.25,.37532952
.5,1.8604753
.25,2.6686037
.4375,2.6686037
1.1875,2.6686037
.3125,2.5461376
.75,2.4848535
3.375,2.4046693
1.4375,1.6732774
3.0625,1.6732774
2.125,2.9747462
.4375,2.9747462
1.875,
2.4375,
10.5625,7.0004778
10.3125,7.0004778
3.5,4.1469312
3.5,4.1469312
1.125,2.2821414
2.5625,2.2821414
5.75,4.1469312
2.6875,
3.8125,
3.625,
1.4375,
7.375,
11.375,
5.125,
3.5,
9.625,
3.6875,5.1237807
9.375,7.0004778
8.75,6.9168816
.3125,1.6732774
1.4375,1.6732774
.375,
3,
.0625,2.5745347
1.125,2.6583812
5,2.3897214
0,2.3897214
1.75,1.1033119
0,3.3136988
6.625,2.4820585
3.625,2.4820585
.375,2.4820585
2.75,2.8114243
2.625,2.8114243
3.6875,2.8114243
2,2.7196786
.5,2.7196786
1.5625,.69141263
2.8125,2.8411603
2.5625,1.9371094
.6875,2.8825104
2.875,2.2425244
4.125,2.2425244
4.4375,2.8825104
5.4375,2.8825104
.5625,2.8825104
1.625,1.8324263
0,1.8324263
2,1.8324263
2.25,1.8324263
5.5625,2.9591863
8.125,3.1755633
3.25,3.1755633
.9375,.269036
.5,3.0059927
2.875,3.0059927
5,4.0189724
.1875,4.0572071
4.25,2.4173145
1.625,2.4173145
3.25,4.5114231
3.75,4.5114231
3.125,3.0336523
3.5625,3.0336523
10.5,6.9751315
3.625,6.9751315
9.5625,4.147089
5,4.4971061
3.125,2.6678114
5.9375,4.1483107
3.9375,4.1483107
6.6875,7.9626203
7.375,7.9626203
6.75,6.7899022
6.625,6.7899022
4.3125,5.0820675
4.125,2.5035803
5.4375,7.0175591
2.5625,5.8116679
9.375,5.8116679
0,4.0189724
0,1.6746095
2.125,2.7925317
1.25,2.6677544
.625,2.5097902
.4375,2.8592179
1.125,3.6426082
1.9375,2.684881
1.25,2.684881
1.75,3.2290781
2.875,.96775979
3,4.0861206
3,2.3333936
3.75,2.3333936
.5,2.3333936
2.75,2.7646067
2.25,2.6592133
1.9375,2.6592133
1.1875,2.7581928
4.6875,2.7581928
1.8125,1.8613151
2.875,1.8613151
.875,1.7505711
0,2.860893
3.4375,2.860893
.5625,2.860893
.3125,1.2382981
.9375,1.2382981
1.1875,3.7275281
4.1875,3.1123559
.75,.27086008
2.375,.27086008
