clust_HDDS,clust_HDDS_clust_predict_m1
4.6875,5.5150571
5.2352943,5.3139405
5.7199998,5.4132695
5.0952382,5.3181643
5.3125,5.2020354
5.4210525,5.133461
5.2608695,5.1787663
5.6500001,5.0608039
5.318182,5.3821626
5.125,5.4536333
4.9259257,5.2381325
4.0952382,4.8335624
4.590909,5.3186965
5.1904764,5.3898091
5.3888888,5.6016564
5.7142859,5.3714066
6.25,5.3643837
5.181818,5.4716864
4.8499999,4.9880791
4.6500001,4.3079996
5.6500001,5.2577839
5.7272725,5.0564952
5.2631578,4.7704697
6.1666665,5.2025065
5.3684211,5.1162744
5.8125,5.1380868
6.1578946,5.223424
5.7058825,5.1825461
6.5,5.2277412
5.6842103,5.3387961
5.0588236,5.4093266
4.9411764,5.2215772
4.5625,5.2403998
5.1111112,5.2899632
6.0555553,5.398859
5.2777777,5.2072554
5.8095236,5.4769645
5.3333335,5.5689616
5.3125,5.467906
5,5.1244702
5.6875,5.4440398
5.4705882,5.2258544
6.4375,5.5047884
6.0999999,5.5116935
5.6363635,5.3948503
5.6500001,5.5169859
5.826087,5.1324458
5.5652175,5.4391031
5.2173915,5.380321
5.4444447,5.4770088
4.7777777,5.6679659
5.3888888,5.3858457
4.7777777,4.9730315
4.5999999,5.1235929
5.9130435,5.3345199
5.1666665,5.2635856
5.1666665,4.5009475
4.7333331,5.4978323
4.25,5.1185546
4.4000001,5.3004146
4.8499999,5.3458266
6.3157897,5.3286624
6.2142859,5.3480711
6.818182,5.5086207
6.409091,5.3706732
6.4210525,5.3189826
5.695652,5.3844075
6.8000002,5.3999019
5.7083335,5.3358979
6.25,5.406291
5.8125,5.3901277
4.8421054,5.0182753
4.9444447,5.3264995
4.8235292,5.0393991
5.2631578,4.9685864
5.2380953,4.6484933
4.7058825,4.4506211
6.4499998,5.6419773
6.3157897,5.5237727
5.7894735,5.3035765
5.4210525,5.1984134
5.5714288,5.352427
6,5.6192737
5.2222223,5.353941
5.4285712,5.5192537
6.1904764,5.6290259
5.4375,4.1219678
5.4499998,5.0230546
5.25,5.3350596
4.7777777,5.166049
5.8888888,5.4718451
6.352941,5.516757
6.2631578,4.9761944
6.2727275,5.3473706
6.6315789,5.0242128
5.96,5.5065131
5.8499999,5.3813882
6.125,5.5672946
5.625,5.5360065
6.0454545,5.2711143
5.2941175,5.1228719
6.0526314,5.3214655
5.681818,5.3540215
5.352941,4.9983559
5.0625,5.2413096
5.1764708,5.3367195
5.8235292,5.2329736
5.6666665,5.2278399
5.25,5.4037399
5.4736843,5.5106149
6.8571429,5.435029
5.9130435,5.1926556
5.5500002,5.2465148
5.3636365,4.9897823
5.4347825,5.4955974
5.2857141,5.4479375
6.1599998,5.4157934
6.0555553,5.4213824
5.9000001,5.1670585
5.3000002,5.3049664
4.3684211,5.2710662
4.8000002,5.5168257
4.9523811,5.3787584
4.8571429,5.4181805
5.7391305,5.5695429
4.9629631,4.8961854
4.8823528,5.2739611
5,5.3048239
6.5,5.5108962
5.8499999,5.489819
5.5,5.0044379
5.3684211,5.255301
5.1999998,5.1915069
5.7142859,5.0468025
4.9523811,4.785707
5.5714288,4.528861
5.4117646,4.9411659
5.090909,4.8781266
5.5714288,5.5772939
6.3125,5.5867028
5.8888888,5.4854951
6.1052632,5.3721404
5.5625,5.2246413
5.5500002,4.1992483
5.304348,4.11409
5.7368422,5.3247261
5.4761906,5.1628442
5.4736843,5.5379848
5.5,5.4024124
6.1111112,5.420588
6.3846154,5.4213314
5.9130435,5.5944333
6,5.4079084
6.2105265,5.4087591
6.5714288,5.5344367
6.6666665,5.5746355
