"","FNID","date","V","IPC","chirps_mean","chirps_min","chirps_max","EFF_YEAR","COUNTRY","ADMIN2","ADMIN3","chirps_mean_w.sum","chirps_max_w.sum","chirps_min_w.sum","price_mean","FNID_OLD.y","price_w"
"1","MW2012C3010102","2007-12","V7",NA,262.5656211,201.6290588,328.9039307,2012,"MW","Chitipa",NA,182.589056233864,228.720950010622,140.213556524953,NA,"10920502",NA
"2","MW2012C3010102","2008-01","V7",NA,243.4304755,154.957077,341.5438843,2012,"MW","Chitipa",NA,169.282408694234,237.510818192889,107.757696257624,NA,"10920502",NA
"3","MW2012C3010102","2008-02","V7",NA,161.9405004,114.7245789,231.8442078,2012,"MW","Chitipa",NA,112.613993447429,161.225277392151,79.7798755999379,27.032,"10920502",34.2951598984489
"4","MW2012C3010102","2008-03","V7",NA,207.1621017,139.3246918,266.7304077,2012,"MW","Chitipa",NA,144.061254014746,185.485263481117,96.8868806177304,45.626,"10920502",62.7522041847848
"5","MW2012C3010102","2008-04","V7",NA,73.67448993,22.72969437,210.3670349,2012,"MW","Chitipa",NA,51.2334993761679,146.289975832283,15.8063093946402,30.9005,"10920502",44.1379566052313
"6","MW2012C3010102","2008-05","V7",NA,13.35469078,1.178401232,28.61250877,2012,"MW","Chitipa",NA,9.28689893063567,19.8972392155168,0.819464360620753,22.450668,"10920502",23.5422446118233
"7","MW2012C3010102","2008-06","V7",NA,5.455857298,0.017055422,17.59607506,2012,"MW","Chitipa",NA,3.79402235073668,12.2363724739195,0.0118604004347707,23.100666,"10920502",14.0260899722584
"8","MW2012C3010102","2008-07","V7",NA,1.750675345,0.036272775,6.061705112,2012,"MW","Chitipa",NA,1.21742579122231,4.21533105107669,0.0252242152894452,32.688,"10920502",27.6440908723525
"9","MW2012C3010102","2008-08","V7",NA,0.828588841,0.007252734,2.556147099,2012,"MW","Chitipa",NA,0.5762035937922,1.77755368142268,0.00504357672808543,34.9364,"10920502",54.8450598887537
"10","MW2012C3010102","2008-09","V7",NA,1.882708809,0.181998923,3.982244015,2012,"MW","Chitipa",NA,1.30924232638807,2.76926649172732,0.126562691059594,41.217,"10920502",50.8764336455529
"11","MW2012C3010102","2008-10","V7",NA,8.301996084,1.669969797,23.80535889,2012,"MW","Chitipa",NA,5.77323727106478,16.554330284459,1.16130286933931,44.4875,"10920502",60.9988733087892
"12","MW2012C3010102","2008-11","V7",NA,33.61848243,25.15468216,51.80360794,2012,"MW","Chitipa",NA,23.3784109023572,36.0244111306227,17.4926544313581,37.6352,"10920502",51.6661033456731
"13","MW2012C3010102","2008-12","V7",NA,120.1130534,80.46013641,155.2580261,2012,"MW","Chitipa",NA,83.5270397159915,107.966977320062,55.9522618003162,30.967166,"10920502",47.151623109972
"14","MW2012C3010102","2009-01","V7",NA,276.1085565,188.3682709,333.3825684,2012,"MW","Chitipa",NA,192.006861135216,231.835410416484,130.991957987282,34.2435,"10920502",24.3092430473073
"15","MW2012C3010102","2009-02","V7",NA,200.2151146,155.7142029,238.6194763,2012,"MW","Chitipa",NA,139.23029475609,165.936822932512,108.284204270943,47.415,"10920502",59.0637308237536
"16","MW2012C3010102","2009-03","V7",NA,307.1237652,207.3768921,419.5526733,2012,"MW","Chitipa",NA,213.574946331231,291.758404384044,144.210620014224,32.7988,"10920502",50.6439411126054
"17","MW2012C3010102","2009-04","V7",NA,134.7950232,52.41903687,357.2512512,2012,"MW","Chitipa",NA,93.7369331445569,248.433776370638,36.4523825727214,32.168,"10920502",52.5168547962054
"18","MW2012C3010102","2009-05","V7",NA,17.18007448,1.346671939,42.78902435,2012,"MW","Chitipa",NA,11.9470842077074,29.7556380020473,0.936480401998209,28.8185,"10920502",48.1700786786734
"19","MW2012C3010102","2009-06","V7",NA,2.3219675,0.004858233,10.18891048,2012,"MW","Chitipa",NA,1.61470436477757,7.08540417744173,0.00337843231234134,24.41765,"10920502",22.8085988542387
"20","MW2012C3010102","2009-07","V7"," 1",1.862546366,0.037197992,6.787465096,2012,"MW","Chitipa",NA,1.29522129262395,4.72002709610992,0.0258676144448022,27.7495,"10920502",33.3870655556609
"21","MW2012C3010102","2009-08","V7",NA,0.838891499,0.007297412,2.520479918,2012,"MW","Chitipa",NA,0.583368098395046,1.75275059833043,0.00507464596639713,28.078,"10920502",28.5956762783131
"22","MW2012C3010102","2009-09","V7",NA,2.188272303,0.418536961,4.598863602,2012,"MW","Chitipa",NA,1.52173225464007,3.19806592089084,0.291052074478838,22.5305,"10920502",28.7498774749849
"23","MW2012C3010102","2009-10","V7"," 1",6.679571375,1.935318947,14.70885468,2012,"MW","Chitipa",NA,4.64499742311459,10.228589268659,1.3458276013586,31.94985,"10920502",37.7747226836476
"24","MW2012C3010102","2009-11","V7",NA,118.3413853,74.60205841,180.3531036,2012,"MW","Chitipa",NA,82.2950154891205,125.418182461254,51.878533758986,36.1684,"10920502",48.4994494289009
"25","MW2012C3010102","2009-12","V7",NA,198.0490809,145.0923615,235.0964661,2012,"MW","Chitipa",NA,137.724027304179,163.486909250647,100.897738409317,35.938,"10920502",49.2493035772033
"26","MW2012C3010102","2010-01","V7"," 1",228.4563703,153.4637299,288.350708,2012,"MW","Chitipa",NA,158.869363281205,200.520096338258,106.719217432878,38.6576,"10920502",37.7963327913684
"27","MW2012C3010102","2010-02","V7",NA,186.0463239,126.6327667,240.9061279,2012,"MW","Chitipa",NA,129.377267878276,167.52696849624,88.0608712716048,42.347,"10920502",50.6948260597996
"28","MW2012C3010102","2010-03","V7",NA,320.0836723,195.8895569,437.3509827,2012,"MW","Chitipa",NA,222.587311302524,304.135411329164,136.22228672054,42.323334,"10920502",39.2293392511127
"29","MW2012C3010102","2010-04","V7"," 1",64.91282551,23.23659515,168.8964081,2012,"MW","Chitipa",NA,45.1406071278095,117.451156122695,16.158809979586,37.74,"10920502",42.3902400289819
"30","MW2012C3010102","2010-05","V7",NA,19.66659085,2.388335705,52.25346375,2012,"MW","Chitipa",NA,13.6762164353246,36.3372424428299,1.66085704792062,23.999332,"10920502",22.3127419085691
"31","MW2012C3010102","2010-06","V7",NA,2.446351119,0.005015385,10.80030441,2012,"MW","Chitipa",NA,1.70120117082939,7.51056966635125,0.00348771636577168,23.92664,"10920502",18.8427664029556
"32","MW2012C3010102","2010-07","V7"," 1",1.865347581,0.037198,6.809898853,2012,"MW","Chitipa",NA,1.29716926738552,4.73562760961679,0.0258676200080303,23.46528,"10920502",15.2918498897982
