"","fnid","RCSI","logFCS","HDDS"
"1","MW2012C3010102",1.775,3.6806391228125,5.021875
"2","MW2012C3010107",0.85,3.75382162,5.1
"3","MW2012C3010201",1.85416666666667,3.72685547013889,5.125
"4","MW2012C3010209",3.52678571428571,3.77515834017857,5.02678571428571
"5","MW2012C3010210",2.61607142857143,3.74008022321429,5.10714285714286
"6","MW2012C3010309",3.04276315789474,4.00160576513158,5.59868421052632
"7","MW2012C3010311",2.9367816091954,4.09785239195402,5.74137931034483
"8","MW2012C3010409",2.77272727272727,4.03495870397727,5.56818181818182
"9","MW2012C3010417",2.75480769230769,4.06451090625,5.77403846153846
"10","MW2012C3010503",5.0625,3.82795760833333,5.0625
"11","MW2012C3010508",2.88825757575758,3.85149326098485,5.38825757575758
"12","MW2012C3010517",4.76041666666667,3.69868390729167,4.90625
"13","MW2012C3020103",3.27083333333333,3.84608097838542,5.203125
"14","MW2012C3020203",1.5625,3.52510704375,4.0625
"15","MW2012C3020209",2.3125,3.8953264,5
"16","MW2012C3020211",2.653125,3.95266403125,5.21875
"17","MW2012C3020213",2.97916666666667,3.81143873333333,5.0625
"18","MW2012C3020303",3.57608695652174,3.83753249565217,5.03260869565217
"19","MW2012C3020403",3.0703125,3.75861463854167,4.94270833333333
"20","MW2012C3020513",3.51838235294118,3.76998795477941,4.92647058823529
"21","MW2012C3020515",2.83928571428571,3.88634078125,5.08928571428571
"22","MW2012C3020603",2.23152022315202,3.77646452956764,4.9302649930265
"23","MW2012C3020619",1.43822843822844,4.05454995850816,6.02097902097902
"24","MW2012C3020703",3.125,3.69728747578125,4.76041666666667
"25","MW2012C3020803",2.94328358208955,3.70289664656716,4.83283582089552
"26","MW2012C3020813",3.4375,3.8649694625,5.1875
"27","MW2012C3020815",1.1875,3.57600170625,4
"28","MW2012C3020913",3.825,3.80069548525,5.36
"29","MW2012C3030112",2.20833333333333,3.74166046666667,4.95833333333333
"30","MW2012C3030114",1.76571428571429,3.80133241085714,5.01142857142857
"31","MW2012C3030115",2.09821428571429,3.73226784375,4.74107142857143
"32","MW2012C3030204",2.66346153846154,3.74078448701923,4.73557692307692
"33","MW2012C3030206",4.125,3.79507743125,4.9375
"34","MW2012C3030214",2.31770833333333,3.79567843489583,5.17708333333333
"35","MW2012C3030304",2.925,3.8757175825,5.52916666666667
"36","MW2012C3030306",3.03125,3.7170553,5.1875
"37","MW2012C3030314",2.04895104895105,3.98392471351981,5.86713286713287
"38","MW2012C3030404",3.765625,3.7464141328125,5.203125
"39","MW2012C3030414",3.125,3.84121413157895,5.52302631578947
"40","MW2012C3030506",3.33984375,3.78716191445313,5.2265625
"41","MW2012C3030514",3.11439114391144,4.02279153394834,5.80442804428044
"42","MW2012C3030519",3.21771217712177,4.15836857638376,6.13653136531365
"43","MW2012C3030606",7.58035714285714,3.79257600535714,5.16071428571429
"44","MW2012C3030613",7.43981481481481,3.82337040324074,5.18055555555556
"45","MW2012C3030714",5.17894736842105,3.85282400842105,5.51578947368421
"46","MW2012C3030716",6.49843260188088,3.83278296833856,5.27272727272727
"47","MW2012C3030804",4.3515625,3.62429211953125,4.671875
"48","MW2012C3030816",3.8671875,3.749106828125,5.046875
"49","MW2012C3030904",4.12835820895522,3.60237190089552,4.42686567164179
"50","MW2012C3031005",8.70065789473684,3.69897810263158,4.8125
"51","MW2012C3031105",9.27445652173913,3.69708027336957,4.67934782608696
"52","MW2012C3031206",4.46527777777778,3.74526366944444,5.11111111111111
"53","MW2012C3031213",5.05833333333333,3.77086168625,5.2125
"54","MW2012C3031313",6.35416666666667,3.725213384375,4.92708333333333
"55","MW2012C3999918",6.0234375,3.60373718203125,4.3125
