Name,Latitude,Longitude
NCHALO,-16.271592,34.870694
MULOZA,-16.076728,35.731364
NTAJA,-14.874127,35.530213
MONKEY BAY,-14.083333,34.916667
NKHOTAKOTA,-12.931686,34.281054
RUMPHI,-11.016667,33.866667
CHILUMBA,-10.436367,34.244938
NTHALIRE,-10.349679,33.637159
NSANJE,-16.916667,35.266667
PHALOMBE,-15.76333,35.65875
NENO,-15.685071,34.574988
MANGOCHI,-14.486173,35.253304
LIWONDE,-15.066667,35.233333
SANTHE,-13.435847,33.39069
MKANDA,-13.502108,32.994464
NTCHISI,-13.284199,33.885775
NSUNDWE,-14.016667,33.483333
MITUNDU,-14.240377,33.768533
MWANSAMBO,-13.3,34.116667
CHAMAMA,-12.916667,33.783333
NKHOMA,-12.711737,33.399103
MALOMO,-13.158857,33.81461
KASUNGU,-13.033333,33.483333
THETE,-11.016667,34
NGABU,-16.440474,34.869314
BANGULA,-16.583333,35.116667
CHIKWAWA,-16.035,34.801
LIMBE,-15.80837,35.057442
CHIRADZULU,-15.675949,35.140629
LUNZU,-15.652717,35.019541
LIMBE,-15.80837,35.057442
CHIRADZULU,-15.675949,35.140629
LUNZU,-15.652717,35.019541
NENO,-15.685071,34.574988
CHIKWAWA,-16.035,34.801
NCHALO,-16.271592,34.870694
LIMBE,-15.80837,35.057442
NENO,-15.685071,34.574988
MWANZA,-15.609722,34.5225
NGABU,-16.440474,34.869314
BANGULA,-16.583333,35.116667
CHIKWAWA,-16.035,34.801
LIMBE,-15.80837,35.057442
CHIRADZULU,-15.675949,35.140629
BVUMBWE,-15.928484,35.077935
LUCHENZA,-16.016667,35.3
MISUKU,-9.683889,33.458056
CHILUMBA,-10.436367,34.244938
NTHALIRE,-10.349679,33.637159
MISUKU,-9.683889,33.458056
KARONGA,-9.933333,33.933333
CHITIPA,-9.703765,33.270025
MTAKATAKA,-14.216849,34.512678
MITUNDU,-14.240377,33.768533
NANJIRI,-13.916667,33.933333
DWANGWA,-14.07937745,33.86160889
LIZULU,-14.438447,34.422597
MTAKATAKA,-14.216849,34.512678
SALIMA,-13.779553,34.458641
NAMBUMA,-13.70352,33.59763
SANTHE,-13.435847,33.39069
NANJIRI,-13.916667,33.933333
MWANSAMBO,-13.3,34.116667
BOWE,-13.3,33.7
MADISI,-13.419069,33.603587
MPONELA,-13.531997,33.735008
DOWA,-13.651469,33.935976
SALIMA,-13.779553,34.458641
CHILUMBA,-10.436367,34.244938
NTHALIRE,-10.349679,33.637159
KARONGA,-9.933333,33.933333
CHILUMBA,-10.436367,34.244938
NTHALIRE,-10.349679,33.637159
MISUKU,-9.683889,33.458056
KARONGA,-9.933333,33.933333
MISUKU,-9.683889,33.458056
KARONGA,-9.933333,33.933333
NKHAMENYA,-12.566667,33.516667
SANTHE,-13.435847,33.39069
MKANDA,-13.502108,32.994464
BOWE,-13.3,33.7
MADISI,-13.419069,33.603587
CHAMAMA,-12.916667,33.783333
JENDA,-12.361617,33.556007
NKHOMA,-12.711737,33.399103
MALOMO,-13.158857,33.81461
KASUNGU,-13.033333,33.483333
NANJIRI,-13.916667,33.933333
LILONGWE,-13.983333,33.783333
NAMBUMA,-13.70352,33.59763
SANTHE,-13.435847,33.39069
MKANDA,-13.502108,32.994464
NSUNDWE,-14.016667,33.483333
MCHINJI,-13.800006,32.893044
MULOZA,-16.076728,35.731364
PHALOMBE,-15.76333,35.65875
LUCHENZA,-16.016667,35.3
TSANGANO_TURNOFF,-15.15,34.583333
NENO,-15.685071,34.574988
MWANZA,-15.609722,34.5225
RUMPHI,-11.016667,33.866667
JENDA,-12.361617,33.556007
THETE,-11.016667,34
MZUZU,-11.45807,34.015131
MZIMBA,-11.9,33.6
MPAMBA,-11.387156,34.164475
TSANGANO_TURNOFF,-15.15,34.583333
MWANZA,-15.609722,34.5225
NKHATABAY,-11.6,34.3
JENDA,-12.361617,33.556007
MPAMBA,-11.387156,34.164475
CHINTHECHE,-11.833333,34.166667
NKHATABAY,-11.6,34.3
JENDA,-12.361617,33.556007
THETE,-11.016667,34
MZUZU,-11.45807,34.015131
MZIMBA,-11.9,33.6
MPAMBA,-11.387156,34.164475
CHINTHECHE,-11.833333,34.166667
NKHOTAKOTA,-12.931686,34.281054
MWANSAMBO,-13.3,34.116667
JENDA,-12.361617,33.556007
CHINTHECHE,-11.833333,34.166667
NKHOTAKOTA,-12.931686,34.281054
CHAMAMA,-12.916667,33.783333
JENDA,-12.361617,33.556007
MZIMBA,-11.9,33.6
NKHOTAKOTA,-12.931686,34.281054
MWANSAMBO,-13.3,34.116667
NCHALO,-16.271592,34.870694
BANGULA,-16.583333,35.116667
MTAKATAKA,-14.216849,34.512678
NTONDA,-14.980972,34.756125
TSANGANO_TURNOFF,-15.15,34.583333
NTCHEU,-14.821976,34.63587
BALAKA,-14.987605,34.956175
LIZULU,-14.438447,34.422597
MTAKATAKA,-14.216849,34.512678
NTCHISI,-13.284199,33.885775
MWANSAMBO,-13.3,34.116667
BOWE,-13.3,33.7
MPONELA,-13.531997,33.735008
DOWA,-13.651469,33.935976
CHAMAMA,-12.916667,33.783333
MALOMO,-13.158857,33.81461
MULOZA,-16.076728,35.731364
PHALOMBE,-15.76333,35.65875
JALI,-15.4967,35.468
MIGOWI,-15.616667,35.716667
RUMPHI,-11.016667,33.866667
NTHALIRE,-10.349679,33.637159
NCHALO,-16.271592,34.870694
BVUMBWE,-15.928484,35.077935
BANGULA,-16.583333,35.116667
LUCHENZA,-16.016667,35.3
CHIKWAWA,-16.035,34.801
NTONDA,-14.980972,34.756125
TSANGANO_TURNOFF,-15.15,34.583333
MANGOCHI,-14.486173,35.253304
LIWONDE,-15.066667,35.233333
BALAKA,-14.987605,34.956175
NTAJA,-14.874127,35.530213
ZOMBA,-15.383333,35.333333
TSANGANO_TURNOFF,-15.15,34.583333
LUNZU,-15.652717,35.019541
MANGOCHI,-14.486173,35.253304
LIWONDE,-15.066667,35.233333
BALAKA,-14.987605,34.956175
LIWONDE,-15.066667,35.233333
MONKEY BAY,-14.083333,34.916667
NAMWERA,-14.347244,35.48367
MANGOCHI,-14.486173,35.253304
MTAKATAKA,-14.216849,34.512678
SALIMA,-13.779553,34.458641
NTAJA,-14.874127,35.530213
MONKEY BAY,-14.083333,34.916667
NTCHEU,-14.821976,34.63587
MANGOCHI,-14.486173,35.253304
LIWONDE,-15.066667,35.233333
BALAKA,-14.987605,34.956175
LIZULU,-14.438447,34.422597
MTAKATAKA,-14.216849,34.512678
NTAJA,-14.874127,35.530213
MONKEY BAY,-14.083333,34.916667
NAMWERA,-14.347244,35.48367
MANGOCHI,-14.486173,35.253304
MWANSAMBO,-13.3,34.116667
MTAKATAKA,-14.216849,34.512678
SALIMA,-13.779553,34.458641
NANJIRI,-13.916667,33.933333
MWANSAMBO,-13.3,34.116667
DOWA,-13.651469,33.935976
MTAKATAKA,-14.216849,34.512678
SALIMA,-13.779553,34.458641
