"","NCHALO","MULOZA","NTAJA","MONKEY.BAY","NKHOTAKOTA","RUMPHI","CHILUMBA","NTHALIRE","NSANJE","PHALOMBE","NENO","MANGOCHI","LIWONDE","SANTHE","MKANDA","NTCHISI","NSUNDWE","MITUNDU","MWANSAMBO","CHAMAMA","NKHOMA","MALOMO","KASUNGU","THETE","NGABU","BANGULA","CHIKWAWA","LIMBE","CHIRADZULU","LUNZU","MWANZA","BVUMBWE","LUCHENZA","MISUKU","KARONGA","CHITIPA","MTAKATAKA","NANJIRI","DWANGWA","LIZULU","SALIMA","NAMBUMA","BOWE","MADISI","MPONELA","DOWA","NKHAMENYA","JENDA","LILONGWE","MCHINJI","TSANGANO.TURN.OFF","MZUZU","MZIMBA","MPAMBA","NKHATABAY","CHINTHECHE","NTONDA","NTCHEU","BALAKA","JALI","MIGOWI","ZOMBA","NAMWERA","THONDWE","HEWE","CHATOLOMA","KASIYA","CHIMBIYA","BEMBEKE.TURN.OFF","SHARPEVALEY","MAYAKA","EMBANGWENI"
"200712",27.78,27.78,27.78,27.78,30,34.86,32,32,27.78,27.78,27.78,27.78,27.78,35.55,35.55,30.58,33,33,37.94,33.77,36.03,30.58,36.03,34.86,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,28.74,32,28.74,27.78,33,33,27.78,27.78,30.58,30.58,30.58,30.58,30,27.2,27.2,33,35.55,27.78,38.09,24,38.09,30,38,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78,26.8,36.03,33,27.78,27.78,27.78,27.78,27.2
"200801",37.78,33.33,37,35.04,46.46,35.56,42.44,39.45,33.77,30.26,27.39,26.8,40,33,26.1,43.205,25.18,30.5,46.46,47.95,25.715,47.95,33.15,35.56,35,36.03,42.04,38.58,30,38,37.94,30.07,30,20,42.44,37.38,38,32.32,32.57,33.11,31,31.5,28,28,33.55,35,25.715,25.715,30,26.1,32.5,39,33.51,46.45,46.565,21.65,32.56,31.2,32.56,30,30.26,30,26.8,30,33.33,25.715,36.78,30,33,31.2,30,25.715
"200802",38.75,39.34,44.5,42.17,38,50.31,30,42.35,36.22,40.36,37.225,35.51,40,33,29.5,43.995,43.25,37.5,52.895,53.13,32.675,53.13,38.5,30,40,44.12,37.6,37.64,42.5,50,37.94,42.15,29.5,30.22,46.86,46.905,47.5,32.32,39.71,36.885,39.72,34.25,30,40,38.885,45,41.25,41.25,40,29.5,38.11,47,41.25,28.4,49.8,33.16,38.22,44.715,38.22,29.66,40.36,37.8,30,38.4,48.06,47.05,42.58,40,45.67,38.2,38.4,41.25
"200803",31,36,30,43.99,45,86.67,35,55.25,26.22,34.58,34.53,38.2,40,35,32.8,67.02,56,35,60.74,55.15,35,55.15,45.25,55,26,29.46,33.72,44.96,40,35,34.53,45,27,30.22,53.31,68.53,46.5,39.94,60,40.26,32,36.5,31.25,35,55.67,50,42.5,55,65,32.8,39.76,48.21,62.35,25.77,46.33,35.15,36.86,45.31,36.86,30.66,34.58,38,30,36,54.43,55,36.5,40,45.5,49.795,32,55
"200804",26.67,28.72,27,28.05,29,44.91,31,43.36,22.07,26.49,31.59,31.8,40,33.5,25,62.22,37,30.44,29.86,39.38,31.91,39.38,39,25,25.5,32.5,28.04,41.31,27.5,30,31.59,40,30,19.17,30.175,47.53,33,35.11,38.15,36.805,29,40,25,30,50,40,37.5,40,44.74,28.225,29.215,53.205,47.25,27.29,36.33,36.37,32.38,35.135,32.38,29.885,26.49,32.4,29.41,27.6,32.48,27.05,45.7,36.33,38.89,35.135,32,40
"200805",42.22,32.33,30.5,26.49,33.33,32.05,25.22,37.76,31.67,29.035,29.85,30.5,40,30,25.8,42.86,35.45,26.44,30,40.5,30,40.5,35,24,33.33,42.5,36.31,32.84,40,25,29.85,40,35,17.33,25.22,25.53,43,28.88,33.15,35.4,32.5,32.94,30,30,33.33,35,30,30,35,23.46,31.565,36.7,28.645,36.7,48.8,36.26,35.32,34.63,35.32,30.88,29.035,32.99,35.29,26.4,18.96,30,32.94,35,36.89,34.63,26.4,30
"200806",42,47.5,40,40.63,49.35,45.19,44.6,25.61,45,38.64,45.73,40.77,40,45,35,45.9,40,35.25,31.5,46.25,40,46.25,34.9,31,44.72,50,43.37,38.2,43.83,40.5,45.73,40,42.5,17,44.6,34.475,38.89,38.9,42.06,34.6,37,36.5,35,40,29.16,50,30,40,37.5,45,42.2,40.225,33.6,32.905,37.81,35.25,32.5,42.52,42.76,36.66,38.64,34,36.58,45.6,34,34.5,41.665,40,44.44,42.52,45.6,40
"200807",53.33,59.165,44,59.37,63.335,52.53,45,25.61,47.96,53.785,56.25,49.7,50,50,40,59.84,50,51,48.945,58.5,50,58.5,45.16,47.5,50.5,61.39,53.06,57.195,52.5,52.5,56.25,60,55,17.11,57.605,41.255,58,47.74,51.165,39,58,43.22,43.75,50,49.25,55,50,40,56,54.71,53.85,46.55,45.65,46.575,54.55,50.025,50,56,46.68,49.11,53.785,42,43.75,55.2,40.585,36,53.75,52.5,50.495,56,55.2,40
"200808",65,60.835,51,59.77,62.67,62.9,47.105,45,58.51,65.18,56.25,51.24,65,45,49,57.78,53.5,60,50,52.5,50.5,52.5,52.35,30,58.125,62.6,59.68,63.725,50,65.04,56.25,65,60,30.4,56.94,43.495,60,64.74,63.21,55.25,64.96,50,49,65,52.76,55,45,45,60,59.6,54.7,58.1,45,63.475,51.55,56.5,56.67,53.49,48.33,53.72,65.18,42,54.75,60,47.435,47.76,59.35,50,55.56,53.49,60,45
"200809",71.25,58,52,58.565,63.34,63.46,50,45,54.63,51.945,50,55.905,60,45,40.1,62.22,52.75,40,50,50.5,45.25,50.5,52.45,40,59.345,61.72,61.44,45.01,55,54.09,50,60,60,35.11,61.4,49.21,65,53.92,65.9,54.015,60,52.93,52,40,40,40,45,45,56,54.265,54.05,56.8,49,60.74,55.445,56.335,50.165,54.025,52.76,58.22,51.945,47.15,48.07,50.4,48.92,45.52,43,41,45,54.025,50.4,45
"200810",67.5,59.33,55,59.54,57.25,59.815,52,44.135,62.22,56.24,53.28,57.2,58.75,50,38.95,63.835,54,45.175,52,52,45,52,53.2,46.5,61.765,63.44,60.22,56.55,55.275,57.21,58.82,56.55,72.82,36,60.77,51.045,68,50.765,59.98,52.98,70,60.285,55,45,51.11,57.5,48.5,48.5,56,52.9,53.405,57.52,48.28,59,55.55,54.5,51.33,60.05,57.075,55.47,56.24,59.895,48.07,60,50.46,45,38.5,47.57,55.56,56.11,60,48.5
"200811",71.11,70.5,70,74.35,56,56.86,51.205,43.27,78.52,70.12,54.52,58.33,59.2,51.415,40.25,66.66,56.15,48.28,52,52,50.5,52,56.35,50,74.165,81.67,63.75,60.2,55,64.78,60,60,91.67,39.73,63.1,48.34,65.75,48.44,56.57,64.08,59.56,64.585,51,45,55.55,65,52,52,60,53.275,55.21,57.12,49.15,73.94,54.27,53.25,70,74.57,61.69,57.88,70.12,54.895,73.14,68.4,48.465,45,53,57.68,61.11,60,52,50
"200812",77.21,74.17,72.33,81.64,66.23,58.35,51.73,46.77,85.925,71.54,55,71.16,57.975,54.94,52,64.99,61,60.385,52,59,60,59,59.055,65,77.21,94.12,77.21,69.17,58,74.62,74.635,72.5,96.43,41.6,58.74,50.77,69.905,62.94,58.27,67.57,71.81,71.41,57,52,71.83,65.95,52,52,52,52.1,63.08,56.115,56.67,61.8,52,53.775,80,74.57,77.42,68.66,71.54,54.99,71.16,72,46.6,52,71.41,66.565,66.67,71.025,72,52
"200901",78.375,78.46,74.34,81.06,73.34,59.4,52.135,43.25,93.705,85.12,92.125,79.375,76.485,58.465,56.15,68.55,65,67.405,80.37,74.15,70,74.15,62.35,75,77.775,88.45,79.95,106.62,70,79.08,92.125,78.75,89.04,41.6,62.645,52.26,83.71,69.295,72.945,74.57,81.04,58.63,60,60,61.11,58.5,52,52,72,63.725,72.23,56.59,54.15,65.55,52,51.45,61.75,80,80.455,68.48,85.12,78.53,75,72,46.6,52,69.225,70,77.78,70.04,72,51.5
"200902",79.235,77.575,72.78,81.62,80,60.24,57.265,47.5,82.96,80.925,82.315,81.425,75.08,60.125,57.82,72.46,60.325,67.75,85.92,73.015,75.33,73.015,66.73,79,73.38,85.885,79.95,102,70,79.86,86.155,80,83.275,51.33,53.915,52.555,80.15,73.15,80.51,76.22,70.15,56.85,60.75,80,60.69,58.75,57.5,57.5,72,63.4,81.09,56.12,54.33,66.44,54.375,50.19,68.03,89.78,76.33,69.115,80.925,78.79,89.47,81.6,47.375,51.675,80.1,70.09,72.22,76.6,81.6,52.665
"200903",41.55,57.66,65,73.14,60,66.85,52.67,45.05,53.85,42.77,79.54,78.85,76,56.04,59.87,72.22,61.8,68.44,74.44,74.89,64.6,74.89,69.5,65,60.435,49.85,68.58,83.64,61.5,79.86,80.36,72,49.775,46.8,57.825,53.495,60.62,70,67.73,72.32,69.8,62.745,58,58,58,64.35,65,65,67.61,59.87,76.81,57.18,50.565,41.67,51.43,50.95,74,71.98,75.17,69.44,42.77,70.89,63.125,60,43.05,50.75,56.5,56.57,61.39,62,72,54.75
"200904",32.89,30.19,21.5,33.64,33.33,47.54,36.49,44.67,28.22,32.985,53.33,55.4,58.33,32.245,52.1,53.82,61,35.25,22.22,58,45.725,58,51.8625,30,45.67,33.33,34.48,52.45,40,29.5,52.3,50,44.89,36.53,36.11,49.59,23.02,69.995,39.27,40.2,90,57.65,56,15,15,64.275,72,52.2,46.67,52.1,47.25,51.02,43.42,22.22,40.28,52.6,36.51,42.86,36.51,56.72,32.985,69.4,55.4,36.8,34.61,45.725,40.5,37.05,44.44,42.86,72,52
