clust_logFCS,clust_logFCS_predict
3.6660154,2.9640164
3.7188785,2.4516807
3.7998304,6.3434749
3.8448913,10.46925
3.6879361,6.753593
3.7841516,6.8228207
3.8374259,6.6873503
3.8953035,3.1955459
3.8047087,6.7195363
3.6172888,3.2415178
3.6439795,6.8395605
3.4990628,3.0621197
3.4933577,3.0944541
3.6403515,10.317204
3.6665723,3.2342501
3.84376,3.1480868
4.0433965,3.3408575
3.8813615,
3.7008128,2.582509
3.7441485,3.1589074
3.6215286,2.3505657
3.862515,6.2025604
3.9374404,6.2146635
3.8079872,6.1170573
3.9977124,6.213851
3.8358147,9.8553333
3.7830768,3.1105416
3.8918312,1.8658152
3.7758429,1.7968776
4.1514988,6.4568839
3.9309611,
3.8444798,7.0240965
3.8362947,6.7909093
3.6930976,6.7716236
3.6518881,10.467137
3.7350838,10.537596
3.9886575,2.6859298
3.7446616,2.6172626
3.93312,3.3769662
3.7440948,6.7427683
3.7857857,3.141489
3.7116849,6.8061895
3.8871653,6.7504005
3.9496818,3.1517236
4.2388158,7.0339832
3.9722149,7.1253886
3.8195713,7.0879374
3.7748787,6.942821
3.9916737,3.1219134
3.8403809,6.8092017
3.8244824,3.1476982
3.8742146,6.7778292
3.7777686,6.0431614
3.9021387,3.1883068
3.7166927,3.0013623
3.5496531,3.0149174
3.9362974,6.935638
3.7444925,3.0659144
3.5289705,3.0578425
3.5693336,6.5842724
3.6268327,6.6711078
3.4981892,6.5582709
3.6486998,6.7251215
4.1787114,3.5419483
4.0011086,7.1512723
4.2960067,3.6696687
4.1393027,3.4850202
4.1048226,7.2949152
3.8897817,7.0227399
4.4301381,7.6584492
3.8571975,3.3620927
4.1035881,6.9796648
3.9184604,6.8563805
3.6246924,3.1210356
3.6686556,3.0375345
3.6704962,3.0216644
3.7689302,2.3321795
3.7852209,6.0501499
3.7130654,5.9799628
4.0658445,6.411706
4.0676599,6.2462797
4.0440907,6.2242408
3.7745514,9.8039284
3.8609583,6.102458
3.9285622,6.8924398
3.7701697,6.135294
3.7868888,6.087183
3.9609897,6.338449
3.7418106,2.9873753
3.5393257,
3.7601032,1.6360707
3.7442036,3.1484702
3.6866508,2.4623835
3.8576705,10.645722
4.307807,7.2213879
4.0041785,6.2672291
4.1439509,6.4889364
4.1076107,6.3780637
4.0758004,6.448801
3.9102142,7.0792322
4.0183487,6.9751797
3.8182402,10.39315
3.9712291,2.4784913
3.7441885,2.4393125
3.9448898,3.3736312
3.745857,2.4810061
3.7006366,6.226841
3.7242777,6.1341543
3.6038883,6.1068549
4.0880117,3.1339805
3.8565178,3.1120019
3.8771565,6.7568183
3.8044646,6.8494234
4.4177699,11.172252
3.9529483,3.1657994
3.9882655,3.1271708
3.782285,3.0906851
3.9465747,6.7418566
3.8390801,6.0216451
3.9228625,7.0311847
4.0240684,3.2657828
3.9198496,3.2343056
3.6902764,6.6658807
3.4244342,6.662571
3.6624522,3.0125206
3.6410766,3.0685253
3.6560838,3.0062587
3.8188958,3.0904016
3.6584873,2.9900055
3.6556187,6.6322069
3.6803482,3.0809231
4.0570364,7.1746993
4.0009079,7.0942955
3.933511,6.0395103
3.9245605,6.0608563
3.888823,6.0657911
3.9735847,3.1741269
3.7099979,3.0829113
3.8880391,3.1169481
3.7848067,3.1756778
3.7995741,3.1686344
3.8336868,3.226851
4.070292,6.4437475
3.8762567,6.205997
3.9872594,6.3105474
3.8244545,6.0135617
3.7324572,2.9406006
3.8186865,2.9865618
3.9912584,9.0292549
3.8286057,9.8023396
3.8511894,2.4486153
3.7493882,3.1012716
4.1048164,10.013694
4.1718726,6.5364509
3.9400933,6.3140154
4.0186462,10.739375
4.0405884,7.0924664
4.1376033,10.828756
4.3435025,7.4686666
3.8839867,
3.8106563,
3.9591575,
3.6416376,
3.7192867,
3.7181423,
3.9302239,
3.4777973,
3.9654365,
3.9739602,
4.0015893,
3.9948883,
3.8791027,
3.6354923,
3.9577582,
3.7005808,
3.8639641,
3.9037588,
3.996321,
3.6687996,
3.5208199,
3.6095014,
3.495477,
3.8589108,
3.8931241,
4.2986822,
4.1097946,
3.8628192,
3.9663641,
3.7417641,
3.7947338,
4.0370798,
3.8949118,
3.883817,
3.9784043,
3.9291706,
3.9026279,
3.7447398,
3.7646635,
3.7439375,
4.2029653,
4.1304073,
4.1328444,
4.2230363,
4.2691398,
