logFCS,logFCS_predict
3.1780539,3.5554485
4.1820502,3.5554485
3.6635616,3.5554485
3.5409594,3.5554485
3.7841897,3.5554485
3.5263605,3.5554485
4.1666651,3.5554485
3.9512436,3.5554485
3.0445225,3.5554485
3.48124,3.5554485
3.2958369,3.5554485
4.2121277,3.5554485
3.9219732,3.5554485
3.6375861,3.5554485
3.7376697,3.5554485
3.3322046,3.5554485
3.4177268,3.7850096
3.9702919,3.7850096
3.624341,3.7850096
3.2188759,3.7850096
4.2195077,3.7850096
3.4657359,3.7850096
4.2195077,3.7850096
3.713572,3.7850096
4.2484951,3.7850096
3.2386785,3.7850096
3.5263605,3.7850096
4.4886365,3.7850096
3.4657359,3.7850096
3.7256935,3.7850096
3.9512436,3.7850096
3.1570003,3.7850096
3.5695326,3.7850096
4.2341065,4.0805688
2.9704144,4.0805688
3.7954891,4.0805688
3.8918202,4.0805688
3.8394523,4.0805688
3.3141861,4.0805688
3.6763008,4.0805688
3.8394523,4.0805688
4.1588831,4.0805688
4.2626801,4.0805688
3.5695326,4.0902309
3.7612002,4.0805688
4.1743875,4.0805688
4.0943446,4.0805688
3.4965076,4.0805688
3.583519,4.0805688
3.5553482,3.6540394
3.7841897,3.6540394
4.2835865,3.6540394
4.1896548,3.6540394
4.0430512,3.6540394
3.6635616,3.6540394
3.6375861,3.6540394
3.8066626,3.6540394
3.5973122,3.6540394
3.9512436,3.6540394
3.8918202,3.6540394
4.0859761,3.6540394
3.4011974,3.6540394
3.9889841,3.6540394
4.1896548,3.6540394
3.3672957,3.6540394
3.6375861,3.6540394
4.3820267,3.6540394
4.1108737,3.6540394
3.3499041,3.6507969
3.7841897,3.6507969
3.8501475,3.6507969
3.6109178,3.6507969
4.0253515,3.6507969
3.6888795,3.6507969
3.6375861,3.6507969
3.9318256,3.6507969
3.9512436,3.6507969
3.4339871,3.6507969
3.2771447,3.6507969
3.0910425,3.6507969
4.0163832,3.6507969
3.583519,3.6507969
4.3438053,3.765487
3.9120231,3.765487
4.1108737,3.765487
3.2771447,3.765487
4.1271343,3.765487
4.1743875,3.765487
3.6635616,3.765487
3.5263605,3.765487
4.0604429,3.765487
3.7612002,3.765487
3.3322046,3.765487
3.9415817,3.6702814
3.9318256,3.6702814
3.7013021,3.6799438
3.4499876,3.6702814
3.6109178,3.6702814
4.3438053,3.6702814
3.5263605,3.6702814
4.3107991,3.6702814
3.7013021,3.6702814
4.1108737,3.6702814
3.6888795,3.6702814
3.9219732,3.6702814
4.2766662,3.6702814
3.9120231,3.6702814
4.2556129,3.6702814
3.8177123,3.6702814
3.5115454,3.6702814
3.5263605,3.689904
3.9318256,3.689904
4.1743875,3.689904
3.8607297,3.689904
3.4499876,3.689904
4.2766662,3.689904
4.0342407,3.689904
3.871201,3.689904
3.8918202,3.689904
4.2195077,3.689904
3.9608133,3.689904
3.9982007,3.689904
3.8394523,3.689904
3.7256935,3.689904
3.8918202,3.689904
3.8918202,3.689904
3.9889841,3.689904
3.9318256,3.689904
4.2904596,3.5909538
3.7954891,3.5909538
3.9889841,3.5909538
3.8394523,3.5909538
3.7841897,3.5909538
3.6888795,3.5909538
4.4543471,3.5909538
3.7376697,3.5909538
3.5115454,3.5909538
3.6375861,3.5909538
3.6375861,3.5909538
3.6888795,3.5909538
4.1271343,3.5909538
3.8177123,3.5909538
3.6375861,3.5909538
3.9019728,3.5909538
3.5115454,3.5909538
3.713572,3.5909538
3.5115454,3.5909538
3.6375861,3.5909538
4.3241324,3.5909538
3.1780539,3.8299775
3.8501475,3.8299775
3.4011974,3.8299775
3.5115454,3.8203154
3.3843904,3.8299775
3.0204248,3.8299775
3.6109178,3.8299775
3.3499041,3.7475724
3.1354942,3.7475724
2.6390574,3.7475724
3.8918202,3.7475724
3.4657359,3.7475724
4.3694477,3.7475724
3.871201,3.7475724
4.1588831,3.7475724
3.5553482,3.7475724
3.4177268,3.7475724
3.2580965,3.7475724
3.6375861,3.7475724
3.198673,3.7475724
2.4849067,3.7475724
3.3843904,3.7475724
3.5973122,3.7475724
3.6109178,3.7475724
3.6109178,3.7475724
3.9512436,3.7475724
3.3322046,3.5893629
3.5409594,3.5893629
4.1271343,3.5893629
3.4339871,3.5893629
3.1354942,3.5893629
3.3322046,3.5893629
3.1780539,3.5893629
3.583519,3.5893629
3.8066626,3.5893629
3.713572,3.5893629
3.6888795,3.5893629
3.5263605,3.5893629
3.1780539,3.5893629
3.0910425,3.5893629
3.1354942,3.5893629
3.0445225,3.5893629
3.583519,3.5893629
3.48124,3.5893629
3.6109178,3.7088268
3.6635616,3.7088268
3.4011974,3.7088268
3.8066626,3.7088268
3.6375861,3.7088268
3.3672957,3.7088268
3.7727609,3.7088268
3.4499876,3.7088268
3.4499876,3.6991646
4.1271343,3.628588
3.4011974,3.8895018
3.6635616,3.8895018
3.8607297,3.8895018
3.8918202,3.8895018
3.2958369,3.8895018
3.3322046,3.8991642
3.4177268,3.8895018
3.198673,3.8895018
3.6375861,3.8895018
3.4339871,3.8895018
3.6888795,3.8798397
3.4657359,3.8895018
3.624341,3.8895018
3.7841897,3.8895018
4.0073333,3.7821343
4.0430512,3.7821343
4.1588831,3.7821343
3.4011974,3.7821343
3.5973122,3.7821343
