logFCS,logFCS_new
3.1780539,3.6268072
4.1820502,3.6268072
3.6635616,3.6268072
3.5409594,3.6268072
3.7841897,3.6268072
3.5263605,3.6268072
4.1666651,3.6268072
3.9512436,3.6268072
3.0445225,3.6268072
3.48124,3.6268072
3.2958369,3.6268072
4.2121277,3.6268072
3.9219732,3.6268072
3.6375861,3.6268072
3.7376697,3.6268072
3.3322046,3.6268072
3.4177268,3.7863233
3.9702919,3.7863233
3.624341,3.7863233
3.2188759,3.7863233
4.2195077,3.7863233
3.4657359,3.7863233
4.2195077,3.7863233
3.713572,3.7863233
4.2484951,3.7863233
3.2386785,3.7863233
3.5263605,3.7863233
4.4886365,3.8155429
3.4657359,3.7863233
3.7256935,3.7863233
3.9512436,3.7863233
3.1570003,3.7863233
3.5695326,3.7863233
4.2341065,3.683876
2.9704144,3.8385293
3.7954891,3.8385293
3.8918202,3.8385293
3.8394523,3.8385293
3.3141861,3.8385293
3.6763008,3.8385293
3.8394523,3.8385293
4.1588831,3.8385293
4.2626801,3.8385293
3.5695326,3.7268653
3.7612002,3.8385293
4.1743875,3.8385293
4.0943446,3.6702063
3.4965076,3.8385293
3.583519,3.8385293
3.5553482,3.6702063
3.7841897,3.6702063
4.2835865,3.6702063
4.1896548,3.6702063
4.0430512,3.6702063
3.6635616,3.6702063
3.6375861,3.6702063
3.8066626,3.6702063
3.5973122,3.6702063
3.9512436,3.6702063
3.8918202,3.6702063
4.0859761,3.6702063
3.4011974,3.6702063
3.9889841,3.6702063
4.1896548,3.6702063
3.3672957,3.6702063
3.6375861,3.6702063
4.3820267,3.6702063
4.1108737,3.6702063
3.3499041,3.6581805
3.7841897,3.6702063
3.8501475,3.6581805
3.6109178,3.7093034
4.0253515,3.6581805
3.6888795,3.6581805
3.6375861,3.6581805
3.9318256,3.6581805
3.9512436,3.6581805
3.4339871,3.6581805
3.2771447,3.6581805
3.0910425,3.6581805
4.0163832,3.6581805
3.583519,3.6581805
4.3438053,3.6702063
3.9120231,3.6702063
4.1108737,3.6702063
3.2771447,3.6702063
4.1271343,3.6702063
4.1743875,3.6702063
3.6635616,3.6702063
3.5263605,3.6702063
4.0604429,3.6702063
3.7612002,3.6702063
