"","case_id","FCS","RCSI","HDDS"
"263",101041500027,31,42,3
"679",102052020180,35,52,5
"682",102052020264,25,42,3
"1755",105052310159,27,50,6
"2841",202034940103,57.5,44,5
"2842",202034940132,34,56,3
"3241",203043140091,39,56,5
"3607",204036680094,21,49,2
"4650",206100500323,21,42,2
"6588",301025400065,28,42,4
"6988",302024030041,21,56,2
"6990",302024030052,33,49,3
"7140",302065720269,21,48,2
"7149",302070600105,25,41,3
"7150",302070600117,30,43,3
"7717",304011780182,20.5,56,4
"8592",306020590122,46.5,42,4
"9555",308066110002,21,43,2
"10035",310012420023,34,50,4
"10081",310016470285,20,56,2
"10089",310017490090,21,42,2
"10219",310040980263,37,42,6
"10284",310065560261,23,50,3
"10311",310075440142,26.5,42,3
"10553",311055810160,21,56,2
"10654",311074060157,36,42,5
"10683",311087030288,12.5,55,2
"10756",312010580017,64.5,42,7
