clust_HDDS,clust_HDDS_predict
4.6875,4.3657856
5.2352943,4.9626536
5.7199998,5.7168288
5.0952382,4.5592113
5.3125,4.5842714
5.4210525,4.9549952
5.2608695,4.6343684
5.6500001,4.6724973
5.318182,4.3915148
5.125,5.0785532
4.9259257,4.848978
4.0952382,4.3637691
4.590909,4.6646256
5.1904764,4.6376977
5.3888888,5.4144292
5.7142859,5.0355415
6.25,5.9630694
5.181818,4.8354354
4.8499999,4.9812231
4.6500001,4.6294518
5.6500001,4.9226546
5.7272725,5.0420208
5.2631578,4.7901726
6.1666665,5.1833863
5.3684211,4.9568295
5.8125,4.7016139
6.1578946,5.6673913
5.7058825,5.2973437
6.5,6.3357801
5.6842103,5.6010523
5.0588236,4.836267
4.9411764,4.6794643
4.5625,4.8613214
5.1111112,4.9474964
6.0555553,5.9131265
5.2777777,5.4669762
5.8095236,5.789104
5.3333335,4.8441091
5.3125,4.5909753
5,4.5971756
5.6875,4.7553892
5.4705882,4.6276107
6.4375,5.767045
6.0999999,6.1229925
5.6363635,5.6142497
5.6500001,5.1615887
5.826087,4.6917243
5.5652175,4.7722468
5.2173915,4.8046603
5.4444447,4.7070398
4.7777777,4.7227745
5.3888888,5.0362411
4.7777777,4.3771095
4.5999999,4.5574932
5.9130435,5.4765248
5.1666665,4.7944074
5.1666665,4.7572474
4.7333331,4.5258965
4.25,4.7482162
4.4000001,4.3985553
4.8499999,4.6998739
6.3157897,6.0178924
6.2142859,5.8854194
6.818182,6.6872244
6.409091,6.4645305
6.4210525,6.3558364
5.695652,5.3415933
6.8000002,7.889451
5.7083335,5.4035645
6.25,5.3740458
5.8125,5.254292
4.8421054,4.6323962
4.9444447,4.6032457
4.8235292,4.4114256
5.2631578,4.7092271
5.2380953,4.4425082
4.7058825,4.2962327
6.4499998,6.0401249
6.3157897,5.2074518
5.7894735,4.8899088
5.4210525,4.9318666
5.5714288,4.8321753
6,5.0912724
5.2222223,4.961936
5.4285712,4.949573
6.1904764,5.8392897
5.4375,4.1341658
5.4499998,4.6725855
5.25,5.1098313
4.7777777,4.9011779
5.8888888,5.2220378
6.352941,6.1645026
6.2631578,5.2018137
6.2727275,6.1508961
6.6315789,5.6733665
5.96,6.1054363
5.8499999,5.6486979
6.125,5.4871712
5.625,4.6789241
6.0454545,4.9788308
5.2941175,4.8856416
6.0526314,5.7554874
5.681818,5.1127834
5.352941,5.2154369
5.0625,5.1008897
5.1764708,4.94664
5.8235292,4.6291914
5.6666665,4.8868456
5.25,4.3425317
5.4736843,4.7876596
6.8571429,7.3583417
5.9130435,4.8167486
5.5500002,4.7266083
5.3636365,4.5006418
5.4347825,4.5190501
5.2857141,4.5653815
6.1599998,5.9483085
6.0555553,5.4679551
5.9000001,5.4643312
5.3000002,4.4952254
4.3684211,4.4069428
4.8000002,4.5876436
4.9523811,4.7727103
4.8571429,4.4400268
5.7391305,4.8899207
4.9629631,4.5043159
4.8823528,4.6588149
5,4.7696991
6.5,6.00315
5.8499999,5.6795807
5.5,4.5546088
5.3684211,4.6669149
5.1999998,4.7634773
5.7142859,5.0339141
4.9523811,4.6107407
5.5714288,4.3316774
5.4117646,4.7906017
5.090909,4.6882973
5.5714288,5.1083326
6.3125,6.0122061
5.8888888,5.2917633
6.1052632,5.6183343
5.5625,4.5528646
5.5500002,3.9671338
5.304348,4.1159964
5.7368422,4.800015
5.4761906,4.7571812
5.4736843,5.0000043
5.5,4.925446
6.1111112,5.4392686
6.3846154,6.4495234
5.9130435,5.5761199
6,5.4690747
6.2105265,5.7002521
6.5714288,5.9194031
6.6666665,7.4864259
