clust_RCSI,clust_RCSI_predict
12.3125,4.6926107
5.352941,3.4962554
5.0799999,3.5725486
4.2857141,4.5742316
.8125,3.993921
10.842105,3.4268191
2.0869565,3.7134027
2.1500001,4.1390452
3.090909,3.9463601
2.25,6.1295099
2.8888888,2.6563265
8.2857141,4.0242286
7.0454545,6.6214337
3.3809524,3.0058415
2.2222223,5.5666418
3.8571429,6.173399
4.1428571,2.0655563
1.1363636,4.2773442
4.1999998,6.2687907
3.25,3.83971
4.1999998,5.3351984
7.5454545,5.4769926
3.5263157,5.5883341
10.166667,5.6219926
4,5.4112382
8.5625,6.3252325
6.2105265,7.7233696
9.4705887,6.3155813
2.3181818,1.5483267
8.2631578,4.5828547
4.4705882,3.6775317
3.8823528,3.3894424
6.125,3.107517
3.6111112,3.1547942
2.0555556,2.0070505
4.8888888,3.7068906
1.7619047,2.6440561
.86666667,4.5381474
1.25,3.6135063
.2631579,4.0153828
.8125,4.380559
2.5294118,3.3061087
.625,2.3537881
3.0999999,2.2296357
3.5,2.4205155
5.0500002,3.1014218
3.652174,3.7413306
1.1304348,3.3947542
3.9130435,3.9516211
3.1481481,3.7361908
1.7777778,3.7008746
1.8333334,2.813077
5.8888888,4.5083485
8.6499996,4.0090837
4.4347825,2.6729321
4.3888888,3.8132048
4.4583335,4.1632056
1.6666666,4.0944118
5.75,3.3277004
11.85,4.1974483
2.75,4.3589683
2.7894738,1.8449639
1.3214285,2.1938198
.90909094,1.3792012
2.8636363,1.5045722
1.6842105,1.2301333
7.652174,2.7135272
.15000001,-.34106785
4.125,2.7321472
4.4375,2.9780073
3.8125,3.1534388
4.8421054,4.2167802
7,4.2777371
7.4705882,4.5591626
4.3684211,4.3050008
3.1904762,4.1858034
3.4705882,4.5633798
2.3,2.5947726
8.0526314,3.5813375
2.4736843,3.9757068
8.4210529,3.4632576
2.1428571,3.5345528
7.0952382,3.4398978
13.722222,4.288022
10.714286,3.9187779
2.5238094,2.4046235
12,5.3799601
9.25,5.1415777
3.75,3.5004365
4.6666665,3.6072531
4.6111112,3.0239739
4.1176472,1.429198
3,3.3762021
5.909091,2.0006638
1.5263158,3.0305877
3,2.0047133
3.4000001,2.2776885
4.125,2.5309656
3.3125,3.5501561
2.8636363,3.9250422
2.5882354,3.9722252
.78947371,3.1965261
3.1818182,3.665998
3.5882354,3.1651499
3.5,3.8247285
3.3529413,3.8733752
2,3.5229495
4.4666667,3.4595301
2.4375,4.1501217
2.4736843,4.0628324
.095238097,.77249819
2.2608695,3.3812861
3.3,3.8368664
7,4.4298844
1.7826087,3.9439778
4.5714288,4.0628824
2.72,2.4547067
2.6111112,3.2569649
3.1500001,2.9266021
5.1999998,3.845762
5.3157897,3.6575766
7.1500001,3.8779905
6.6666665,3.9573781
6,3.6106756
2.7391305,3.6128645
3.2592592,4.2339063
4.352941,3.2156034
4.7222223,3.7760329
.75,2.7498984
2.8,2.6144736
4.3000002,4.3460469
2.6842105,3.8041649
4.6999998,4.0091877
6.8571429,3.8664818
1.2857143,4.4059772
4.4761906,5.4494128
2.3529413,3.8207996
3.0454545,3.8616507
2.8571429,3.4622836
1.9375,2.4662232
3.5,2.667253
4.0526314,2.6250322
6.1875,4.661386
10.55,6.1706247
8.043478,5.4400368
7.1052632,4.3940125
4.5238094,4.1182137
3,3.6134026
7.818182,4.0432873
3.2777777,2.8697507
4,1.6568215
1.9130435,2.2967641
5.3333335,2.6196272
1.1578947,2.5072036
5.1428571,1.2819165
3.4761906,.52154106
