clust,clust_RCSI,clust_RCSI_predict
10101016,12.3125,4.6599622
10202514,5.352941,3.4949484
10304012,5.0799999,3.5657969
10503367,4.2857141,4.5405121
10509319,.8125,3.9655628
10746033,10.842105,3.4176424
20113112,2.0869565,3.6987782
20206362,2.1500001,4.1268125
20407398,3.090909,3.9209208
20508349,2.25,6.1481266
20607315,2.8888888,2.6655421
20615064,8.2857141,4.000545
20807727,7.0454545,6.6310029
20808421,3.3809524,2.9978533
20908088,2.2222223,5.5856562
20909113,3.8571429,6.1870441
21052427,4.1428571,2.0593352
30101280,1.1363636,4.2582269
30105325,4.1999998,6.2848029
30108401,3.25,3.8355329
30305277,4.1999998,5.3553953
30406710,7.5454545,5.4860969
30504518,3.5263157,5.6134467
30708665,10.166667,5.6466823
30711684,4,5.4411001
30806611,8.5625,6.3408189
31002169,6.2105265,7.7853856
31108703,9.4705887,6.3350983
31436695,2.3181818,1.5314585
31554613,8.2631578,4.6090283
10101204,4.4705882,3.674814
10101215,3.8823528,3.387851
10102004,6.125,3.1123676
10203176,3.6111112,3.1653302
10220705,2.0555556,2.0153832
10305446,4.8888888,3.7087228
10401140,1.7619047,2.6281061
10401502,.86666667,4.5115905
10501505,1.25,3.5897048
10501709,.2631579,4.0063267
10505310,.8125,4.356164
10510388,2.5294118,3.2911384
10732192,.625,2.344877
10735173,3.0999999,2.2250152
10736596,3.5,2.4121904
10746244,5.0500002,3.0944083
20115434,3.652174,3.7306123
20302539,1.1304348,3.3691399
20305301,3.9130435,3.9397354
20306557,3.1481481,3.7154093
20404032,1.7777778,3.6855636
20407481,1.8333334,2.7877874
20601141,5.8888888,4.4769764
20603090,8.6499996,3.978611
20607260,4.4347825,2.6577554
20615735,4.3888888,3.7753334
20706163,4.4583335,4.1423087
20803156,1.6666666,4.0631614
20804405,5.75,3.3121674
20804768,11.85,4.1643763
20906524,2.75,4.3428354
21037030,2.7894738,1.8161421
21037536,1.3214285,2.1775465
21053745,.90909094,1.3568039
21055241,2.8636363,1.4874797
21055693,1.6842105,1.2139206
21074510,7.652174,2.7021797
21077725,.15000001,-.37272331
21080308,4.125,2.7183766
21081573,4.4375,2.9680858
21088597,3.8125,3.1330445
30103074,4.8421054,4.1943564
30104708,7,4.2554593
30105448,7.4705882,4.5393095
30109724,4.3684211,4.2888937
30212307,3.1904762,4.1766663
30212492,3.4705882,4.5466943
30307678,2.3,2.5882123
30403444,8.0526314,3.5494635
30602235,2.4736843,3.948499
30703381,8.4210529,3.4552224
30704313,2.1428571,3.5270183
30709438,7.0952382,3.4288335
30801679,13.722222,4.2811732
30803115,10.714286,3.905359
30804416,2.5238094,2.4024003
30901603,12,5.2876554
31007335,9.25,5.1224666
31201007,3.75,3.4970818
31201197,4.6666665,3.5968761
31432523,4.6111112,3.0077951
31432676,4.1176472,1.4215745
31438690,3,3.3047972
31443108,5.909091,1.9770982
31443270,1.5263158,2.9492054
31540419,3,2.0024633
31545384,3.4000001,2.2693415
31555614,4.125,2.5296419
10103414,3.3125,3.5319488
10203744,2.8636363,3.9241521
10204322,2.5882354,3.9673147
10204586,.78947371,3.1906629
10220103,3.1818182,3.6635935
10301663,3.5882354,3.1727619
10308636,3.5,3.8176136
10404186,3.3529413,3.8761344
10502268,2,3.5141861
10502593,4.4666667,3.4532967
10505136,2.4375,4.118155
10505508,2.4736843,4.0390649
10733640,.095238097,.74949199
20106042,2.2608695,3.3619876
20110620,3.3,3.8223472
20111718,7,4.3937721
20303065,1.7826087,3.9307494
20404575,4.5714288,4.0503602
20601626,2.72,2.4265854
20602363,2.6111112,3.230921
20603533,3.1500001,2.902143
20604638,5.1999998,3.8308175
20605302,5.3157897,3.6398358
20610050,7.1500001,3.8623424
20610249,6.6666665,3.934175
20613324,6,3.5872324
20614477,2.7391305,3.5888312
20704738,3.2592592,4.2062469
20801046,4.352941,3.2012722
20906605,4.7222223,3.757786
21066096,.75,2.7086706
21066339,2.8,2.5932062
30101545,4.3000002,4.3212032
30102028,2.6842105,3.7845068
30102540,4.6999998,3.9961421
30206341,6.8571429,3.8444562
30206572,1.2857143,4.375227
30302601,4.4761906,5.3583407
30305082,2.3529413,3.81145
30305580,3.0454545,3.8451226
30501383,2.8571429,3.4553366
30620196,1.9375,2.4572878
30705391,3.5,2.6657751
30706619,4.0526314,2.6111183
30801672,6.1875,4.6474719
30901054,10.55,6.0705547
30901475,8.043478,5.3523946
31004312,7.1052632,4.3629823
31006556,4.5238094,4.1015911
31201104,3,3.608587
31201516,7.818182,4.0364566
31435120,3.2777777,2.8517246
31439102,4,1.6421949
31532674,1.9130435,2.3021321
31533095,5.3333335,2.6066537
31536751,1.1578947,2.503159
31546760,5.1428571,1.2818843
31550254,3.4761906,.5054968
