clust,clust_RCSI,clust_RCSI_predict_ipc
10101016,12.3125,3.0885668
10202514,5.352941,3.0885668
10304012,5.0799999,3.0885668
10503367,4.2857141,3.0885668
10509319,.8125,3.0885668
10746033,10.842105,3.0885668
20113112,2.0869565,3.0885668
20206362,2.1500001,3.0885668
20407398,3.090909,3.0885668
20508349,2.25,6.3960395
20607315,2.8888888,3.0885668
20615064,8.2857141,3.0885668
20807727,7.0454545,6.3960395
20808421,3.3809524,3.0885668
20908088,2.2222223,6.3960395
20909113,3.8571429,6.3960395
21052427,4.1428571,3.0885668
30101280,1.1363636,3.0885668
30105325,4.1999998,6.3960395
30108401,3.25,3.0885668
30305277,4.1999998,6.3960395
30406710,7.5454545,6.3960395
30504518,3.5263157,6.3960395
30708665,10.166667,6.3960395
30711684,4,6.3960395
30806611,8.5625,6.3960395
31002169,6.2105265,10.642858
31108703,9.4705887,6.3960395
31436695,2.3181818,3.0885668
31554613,8.2631578,6.3960395
10101204,4.4705882,3.0885668
10101215,3.8823528,3.0885668
10102004,6.125,3.0885668
10203176,3.6111112,3.0885668
10220705,2.0555556,3.0885668
10305446,4.8888888,3.0885668
10401140,1.7619047,3.0885668
10401502,.86666667,3.0885668
10501505,1.25,3.0885668
10501709,.2631579,3.0885668
10505310,.8125,3.0885668
10510388,2.5294118,3.0885668
10732192,.625,3.0885668
10735173,3.0999999,3.0885668
10736596,3.5,3.0885668
10746244,5.0500002,3.0885668
20115434,3.652174,3.0885668
20302539,1.1304348,3.0885668
20305301,3.9130435,3.0885668
20306557,3.1481481,3.0885668
20404032,1.7777778,3.0885668
20407481,1.8333334,3.0885668
20601141,5.8888888,3.0885668
20603090,8.6499996,3.0885668
20607260,4.4347825,3.0885668
20615735,4.3888888,3.0885668
20706163,4.4583335,3.0885668
20803156,1.6666666,3.0885668
20804405,5.75,3.0885668
20804768,11.85,3.0885668
20906524,2.75,3.0885668
21037030,2.7894738,3.0885668
21037536,1.3214285,3.0885668
21053745,.90909094,3.0885668
21055241,2.8636363,3.0885668
21055693,1.6842105,3.0885668
21074510,7.652174,3.0885668
21077725,.15000001,3.0885668
21080308,4.125,3.0885668
21081573,4.4375,3.0885668
21088597,3.8125,3.0885668
30103074,4.8421054,3.0885668
30104708,7,3.0885668
30105448,7.4705882,3.0885668
30109724,4.3684211,3.0885668
30212307,3.1904762,3.0885668
30212492,3.4705882,3.0885668
30307678,2.3,3.0885668
30403444,8.0526314,3.0885668
30602235,2.4736843,3.0885668
30703381,8.4210529,3.0885668
30704313,2.1428571,3.0885668
30709438,7.0952382,3.0885668
30801679,13.722222,3.0885668
30803115,10.714286,3.0885668
30804416,2.5238094,3.0885668
30901603,12,3.0885668
31007335,9.25,3.0885668
31201007,3.75,3.0885668
31201197,4.6666665,3.0885668
31432523,4.6111112,3.0885668
31432676,4.1176472,3.0885668
31438690,3,3.0885668
31443108,5.909091,3.0885668
