"case_id","LAT_DD_MOD","LON_DD_MOD","rcsi","logfcs","hdds"
"0039-001",-9.80998,33.3873,4.48436453723665,3.54541615181431,4.22248828662579
"0149-001",-9.68146,33.8498,3.67381359488241,3.74183686198118,4.62467652833684
"0297-001",-11.8362,34.1621,3.26282259234729,4.08058518123039,5.55379821209451
"0497-002",-11.8704,33.6791,4.24047446758676,3.64801363183027,4.36365654780289
"0603-001",-11.3433,33.6194,3.70840892014876,3.65179162231931,4.48156883478534
"0753-001",-11.4608,33.9739,3.21454048174206,3.76302569859333,4.81024383492358
"0843-001",-12.9685,33.8605,3.53823646142152,3.66456795888186,4.47872434079756
"0885-002",-13.274,34.1404,3.86912692497972,3.69196918766926,4.52746148312357
"1028-001",-13.6362,33.7489,3.70507524006449,3.59115574156322,4.2976264044426
"1109-001",-13.4883,34.2614,5.86001901014515,3.85104024113299,5.00319430160923
"1229-001",-13.7993,33.8589,2.25784450473737,3.77312675915587,4.76041296383871
"1335-001",-13.8122,33.5005,3.80040830671768,3.58990144450044,4.27499596867003
"1507-001",-14.3556,34.5793,6.46847530703236,3.71748291757135,4.57695174134892
"1496-001",-14.3487,34.404,2.83719002935384,3.61395877638483,4.415668226957
"1627-003",-14.6361,34.7323,5.33418748570922,3.89094542293425,5.23403697246629
"1604-001",-14.4136,34.6106,5.89530358575726,3.78999029600613,4.9041913936989
"1723-001",-14.0063,33.8022,1.73434021713269,4.06221788458246,5.79921845051765
"1905-001",-14.011,33.7281,NA,NA,NA
"1937-003",-14.4265,35.2576,4.10731584929162,3.67986129175969,4.67133411435704
"2041-001",-14.4912,35.6063,6.19393299807772,3.79468084292373,4.90424392566726
"2053-001",-13.8451,35.1065,3.64836537786637,3.69255668501556,4.45600829515897
"2239-005",-15.519,35.3176,5.11680089321908,3.75644594149695,4.77582615938399
"2353-001",-15.6013,35.2404,5.52509990944204,3.73879980934772,4.8493381163378
"2348-001",-15.7088,34.8301,5.52068412093038,3.70793153390923,4.52172714925387
"2452-001",-16.0579,35.2362,5.50608364905694,3.84516250328742,5.02572062168006
"2563-001",-16.0123,34.9535,5.24888201521472,3.78471450937748,4.84344849765451
"2659-001",-15.8284,35.3532,6.28712063638474,3.66247797212339,4.53763693873365
"2767-001",-16.2669,34.8952,7.55527472816013,3.9887977289605,5.52474347859254
"2825-001",-16.9855,35.2499,6.19111376270375,3.87964899926407,5.14119067806726
"2991-001",-15.3888,35.3576,1.26674010097876,4.20472322742864,6.27535306593302
"3141-001",-15.7695,34.9969,NA,NA,NA
"3257-001",-15.8271,35.0484,4.41098756276832,3.92956661239274,5.4482699508623
"0058-001",-9.89498,33.381,3.35872337664682,3.7271154624068,4.63034778455217
"0005-001",-9.50446,33.2302,3.04011145877171,3.70266848706084,4.54357962534623
"0067-001",-9.74823,33.5035,2.79398350433942,3.73515907153128,4.71135093906129
"0152-001",-9.87305,33.6206,2.88051393798458,3.79089352032933,4.83299400383866
"0203-004",-9.93128,33.9324,1.68796504347058,4.08173550852124,5.81473352164077
"0282-001",-12.1525,34.0251,3.31657724272769,4.06883415888936,5.34796359920315
