,Model,Accuracy,% Type I,% Type II,,,
2,logFCS_tail_clust_m1,0.26,0.74,0.00,,,
3,logFCS_tail_clust_m2,0.31,0.69,0.00,,,
4,logFCS_tail_clust_m3,0.34,0.66,0.00,,,
5,logFCS_tail_ipczone_m1,0.26,0.74,0.00,,,
6,logFCS_tail_ipczone_m2,0.26,0.74,0.00,,,
7,logFCS_tail_ipczone_m3,0.19,0.81,0.00,,,
8,logFCS_tail_TA_m1,0.26,0.74,0.00,,,
9,logFCS_tail_TA_m2,0.31,0.69,0.00,,,
10,logFCS_tail_TA_m3,0.36,0.64,0.00,,,
11,HDDS_tail_clust_m1,0.78,0.22,0.00,,,
12,HDDS_tail_clust_m2,0.78,0.22,0.00,,,
13,HDDS_tail_clust_m3,0.78,0.22,0.00,,,
14,HDDS_tail_ipczone_m1,0.78,0.22,0.00,,,
15,HDDS_tail_ipczone_m2,0.78,0.22,0.00,,,
16,HDDS_tail_ipczone_m3,0.76,0.24,0.00,,,
17,HDDS_tail_TA_m1,0.78,0.22,0.00,,,
18,HDDS_tail_TA_m2,0.78,0.22,0.00,,,
19,HDDS_tail_TA_m3,0.78,0.22,0.00,,,
20,RCSI_tail_clust_m1,0.39,0.61,0.00,,,
21,RCSI_tail_clust_m2,0.40,0.60,0.00,,,
22,RCSI_tail_clust_m3,0.41,0.59,0.00,,,
23,RCSI_tail_ipczone_m1,0.44,0.56,0.01,,,
24,RCSI_tail_ipczone_m2,0.44,0.56,0.01,,,
25,RCSI_tail_ipczone_m3,0.45,0.55,0.00,,,
26,RCSI_tail_TA_m1,0.42,0.49,0.08,,,
27,RCSI_tail_TA_m2,0.43,0.47,0.10,,,
28,RCSI_tail_TA_m3,0.49,0.49,0.01,,,
